Owned,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,Stamped Cards,MEG064,Xerneas,Mega Evolution Stamp,US/Australia/New Zealand,Mega Evolution - Retailer Gift With Purchase,Best Buy or JB Hi-Fi; spend 15 dollars on Pokemon TCG products
,Stamped Cards,MEG133,Bulbasaur,Mega Evolution Stamp,US/UK,Mega Evolution - Mega Evolution Booster Display Boxes,Enhanced Booster Display Box bonus card
,Stamped Cards,,Yveltal,EB Games Stamp,Canada/Australia/New Zealand,Mega Evolution - Retailer Gift With Purchase,Card number to verify; spend 15 dollars on Pokemon TCG products
,Stamped Cards,,Yveltal,GameStop Stamp,US,Mega Evolution - Retailer Gift With Purchase,Card number to verify; spend 15 dollars on Pokemon TCG products
,Promo Cards,SVP219,Black Belt's Training,Black Star Promo,US/UK,Mega Evolution - Trainer's Toolkit 2025,SVP promo in Mega-era product
,Promo Cards,SVP220,Black Belt's Training,Black Star Promo,US/UK,Mega Evolution - Trainer's Toolkit 2025,SVP promo in Mega-era product
,Promo Cards,SVP221,Professor's Research [Professor Birch],Black Star Promo,US/UK,Mega Evolution - Trainer's Toolkit 2025,SVP promo in Mega-era product
,Promo Cards,SVP222,Professor's Research [Professor Kukui],Black Star Promo,US/UK,Mega Evolution - Trainer's Toolkit 2025,SVP promo in Mega-era product
,Promo Cards,SVP223,Professor's Research [Professor Magnolia],Black Star Promo,US/UK,Mega Evolution - Trainer's Toolkit 2025,SVP promo in Mega-era product
,MCAP Cards,MEG010,Meganium,Non Holo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,
,MCAP Cards,MEG010,Meganium,Pixel Cosmos Holo,US/UK,Perfect Order - Perfect Order Blisters,Mega Evolution reprint
,MCAP Cards,MEG028,Cinderace,Pixel Cosmos Holo,US/UK,Perfect Order - Perfect Order Blisters,Mega Evolution reprint
,MCAP Cards,MEG038,Clawitzer,Pixel Cosmos Holo,US/UK,Perfect Order - Perfect Order Blisters,Mega Evolution reprint
,MCAP Cards,MEG048,Raikou,Pixel Cosmos Holo,US/UK,Mega Evolution - Raikou Two Pack Blister,
,MCAP Cards,MEG058,Ralts,Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Collector Chest,
,MCAP Cards,MEG059,Kirlia,Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Collector Chest,
,MCAP Cards,MEG064,Xerneas,Non Holo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,
,MCAP Cards,MEG074,Hariyama,Non Holo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,
,MCAP Cards,MEG076,Riolu,Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Collector Chest,
,MCAP Cards,MEG093,Steelix,Pixel Cosmos Holo,US/UK,Perfect Order - Perfect Order Blisters,Mega Evolution reprint
,Prize Pack Cards,MEG003,Mega Venusaur ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,MEG022,Mega Camerupt ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,MEG028,Cinderace,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,Prize Pack Cards,MEG036,Mega Abomasnow ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,MEG050,Mega Manectric ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,MEG060,Mega Gardevoir ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,MEG073,Hariyama,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,MEG074,Lunatone,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,Prize Pack Cards,MEG075,Solrock,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,Prize Pack Cards,MEG077,Mega Lucario ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,MEG086,Mega Absol ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,MEG094,Mega Mawile ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,MEG100,Mega Latias ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,MEG101,Latios,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,MEG104,Mega Kangaskhan ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,MEG114,Boss's Orders,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,MEG116,Fighting Gong,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,Prize Pack Cards,MEG117,Forest of Vitality,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,Prize Pack Cards,MEG118,Iron Defender,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,Prize Pack Cards,MEG119,Lillie's Determination,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,Prize Pack Cards,MEG121,Mega Signal,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,Prize Pack Cards,MEG122,Mystery Garden,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,Prize Pack Cards,MEG124,Premium Power Pro,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,Prize Pack Cards,MEG127,Risky Ruins,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,MEG128,Strange Timepiece,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,MEG129,Surfing Beach,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,MEG132,Wally's Compassion,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,League and Championship Cards,MEG131,Ultra Ball,Pokemon Europe International Championships Stamp,Europe,Mega Evolution - 2026 Pokemon Europe International Championships merchandise,Competitor promo
,League and Championship Cards,MEG131,Ultra Ball,Pokemon Latin America International Championships Stamp,Brazilian Portuguese,Mega Evolution - 2026 Pokemon Latin America International Championships merchandise,Competitor promo
,League and Championship Cards,MEG131,Ultra Ball,Pokemon North America International Championships Stamp,US,Mega Evolution - 2026 Pokemon North America International Championships merchandise,Competitor promo
