Owned,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,Stamped Cards,MEP001,Meganium,Black Star Promo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,Prerelease promo
,Stamped Cards,MEP002,Inteleon,Black Star Promo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,Prerelease promo
,Stamped Cards,MEP003,Alakazam,Black Star Promo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,Prerelease promo
,Stamped Cards,MEP004,Lunatone,Black Star Promo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,Prerelease promo
,Stamped Cards,MEP014,Ceruledge,Black Star Promo,US/UK,Phantasmal Flames - Phantasmal Flames Build & Battle Box,Prerelease promo
,Stamped Cards,MEP015,Zacian,Black Star Promo,US/UK,Phantasmal Flames - Phantasmal Flames Build & Battle Box,Prerelease promo
,Stamped Cards,MEP016,Flygon,Black Star Promo,US/UK,Phantasmal Flames - Phantasmal Flames Build & Battle Box,Prerelease promo
,Stamped Cards,MEP017,Toxtricity,Black Star Promo,US/UK,Phantasmal Flames - Phantasmal Flames Build & Battle Box,Prerelease promo
,Stamped Cards,MEP064,Serperior,Black Star Promo,US/UK,Perfect Order - Perfect Order Build & Battle Box,Prerelease promo
,Stamped Cards,MEP065,Barbaracle,Black Star Promo,US/UK,Perfect Order - Perfect Order Build & Battle Box,Prerelease promo
,Stamped Cards,MEP066,Tyrantrum,Black Star Promo,US/UK,Perfect Order - Perfect Order Build & Battle Box,Prerelease promo
,Stamped Cards,MEP067,Doublade,Black Star Promo,US/UK,Perfect Order - Perfect Order Build & Battle Box,Prerelease promo
,Stamped Cards,MEP074,Delphox,Black Star Promo,US/UK,Chaos Rising - Chaos Rising Build & Battle Box,Prerelease promo
,Stamped Cards,MEP075,Ampharos,Black Star Promo,US/UK,Chaos Rising - Chaos Rising Build & Battle Box,Prerelease promo
,Stamped Cards,MEP076,Crobat,Black Star Promo,US/UK,Chaos Rising - Chaos Rising Build & Battle Box,Prerelease promo
,Stamped Cards,MEP077,Goodra,Black Star Promo,US/UK,Chaos Rising - Chaos Rising Build & Battle Box,Prerelease promo
,MCAP Cards,MEP005,Drifloon,Pixel Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Blisters,
,MCAP Cards,MEP006,Drifblim,Pixel Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Blisters,
,MCAP Cards,MEP007,Psyduck,Pixel Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Blisters,
,MCAP Cards,MEP008,Golduck,Pixel Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Blisters,
,MCAP Cards,MEP009,Alakazam,Black Star Promo,US/UK,Mega Evolution - Mega Evolution Elite Trainer Box,
,MCAP Cards,MEP009,Alakazam,Pokemon Center Stamp,US/UK,Mega Evolution - Mega Evolution Elite Trainer Box,
,MCAP Cards,MEP010,Riolu,Black Star Promo,US/UK,Mega Evolution - Mega Evolution Elite Trainer Box,
,MCAP Cards,MEP010,Riolu,Pokemon Center Stamp,US/UK,Mega Evolution - Mega Evolution Elite Trainer Box,
,MCAP Cards,MEP011,Mega Latias ex,Black Star Promo,US/UK,Mega Evolution - Mega Latias ex Box,
,MCAP Cards,MEP013,Mega Venusaur ex,Black Star Promo,US/UK,Mega Evolution - Mega Venusaur ex Premium Collection,Europe release 2025-11-14
,MCAP Cards,MEP018,Cottonee,Smooth Cosmos Holo,US/UK,Phantasmal Flames - Phantasmal Flames Blisters,
,MCAP Cards,MEP019,Whimsicott,Smooth Cosmos Holo,US/UK,Phantasmal Flames - Phantasmal Flames Blisters,
,MCAP Cards,MEP020,Sneasel,Smooth Cosmos Holo,US/UK,Phantasmal Flames - Phantasmal Flames Blisters,
,MCAP Cards,MEP021,Weavile,Smooth Cosmos Holo,US/UK,Phantasmal Flames - Phantasmal Flames Blisters,
,MCAP Cards,MEP022,Charcadet,Black Star Promo,US/UK,Phantasmal Flames - Phantasmal Flames Elite Trainer Box,
,MCAP Cards,MEP022,Charcadet,Pokemon Center Stamp,US/UK,Phantasmal Flames - Phantasmal Flames Elite Trainer Box,
,MCAP Cards,MEP023,Mega Charizard X ex,Black Star Promo,US/UK,Phantasmal Flames - Mega Charizard X ex Ultra-Premium Collection,
,MCAP Cards,MEP024,Oricorio ex,Black Star Promo,US/UK,Phantasmal Flames - Mega Charizard X ex Ultra-Premium Collection,
,MCAP Cards,MEP025,Mega Kangaskhan ex,Black Star Promo,US/UK,Mega Evolution - Mega Kangaskhan ex Box,Europe release 2025-11-14
,MCAP Cards,MEP029,Mega Charizard X ex,Black Star Promo,US/UK,Ascended Heroes - Mega Charizard Tins,
,MCAP Cards,MEP030,Mega Charizard Y ex,Black Star Promo,US/UK,Ascended Heroes - Mega Charizard Tins,
,MCAP Cards,MEP031,N's Zekrom,Black Star Promo,US/UK,Ascended Heroes - Ascended Heroes Elite Trainer Box,
,MCAP Cards,MEP031,N's Zekrom,Pokemon Center Stamp,US/UK,Ascended Heroes - Ascended Heroes Elite Trainer Box,
,MCAP Cards,MEP034,Mega Meganium ex,Black Star Promo,US/UK,Ascended Heroes - Mega Meganium ex Box | Ascended Heroes - Ascended Heroes Tins,Previously released in Mega Meganium ex Box
,MCAP Cards,MEP035,Mega Emboar ex,Black Star Promo,US/UK,Ascended Heroes - Mega Emboar ex Box | Ascended Heroes - Ascended Heroes Tins,Previously released in Mega Emboar ex Box
,MCAP Cards,MEP036,Mega Feraligatr ex,Black Star Promo,US/UK,Ascended Heroes - Mega Feraligatr ex Box | Ascended Heroes - Ascended Heroes Tins,Previously released in Mega Feraligatr ex Box
,MCAP Cards,MEP068,Makuhita,Smooth Cosmos Holo,US/UK,Perfect Order - Perfect Order Blisters,
