Owned,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,Stamped Cards,PFL017,Reshiram,Phantasmal Flames Stamp,US,Phantasmal Flames - Retailer Gift With Purchase,Hot Topic or Barnes & Noble; spend 15 dollars on Pokemon TCG products
,Stamped Cards,PFL026,Suicune,EB Games Stamp,Canada/Australia/New Zealand,Phantasmal Flames - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,Stamped Cards,PFL026,Suicune,GameStop Stamp,US,Phantasmal Flames - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,Stamped Cards,,Genesect,Phantasmal Flames Stamp,US/Australia/New Zealand,Phantasmal Flames - Retailer Gift With Purchase,Card number to verify; Best Buy or Mr Toys or Toymate or JB Hi-Fi
,MCAP Cards,PFL001,Oddish,Pixel Cosmos Holo,US/UK,Phantasmal Flames - Enhanced 2-Pack Blister: Oddish Gloom & Vileplume,
,MCAP Cards,PFL002,Gloom,Pixel Cosmos Holo,US/UK,Phantasmal Flames - Enhanced 2-Pack Blister: Oddish Gloom & Vileplume,
,MCAP Cards,PFL003,Vileplume,Pixel Cosmos Holo,US/UK,Phantasmal Flames - Enhanced 2-Pack Blister: Oddish Gloom & Vileplume,
,MCAP Cards,PFL014,Moltres,Non Holo,US/UK,Chaos Rising - Chaos Rising Blisters,Phantasmal Flames reprint
,MCAP Cards,PFL017,Reshiram,Cosmos Holo,US/UK,Chaos Rising - Chaos Rising Blisters,Phantasmal Flames reprint
,MCAP Cards,PFL034,Pawmot,Cosmos Holo,US/UK,Chaos Rising - Chaos Rising Blisters,Phantasmal Flames reprint
,MCAP Cards,PFL045,Zacian,Cosmos Holo,US/UK,Chaos Rising - Chaos Rising Blisters,Phantasmal Flames reprint
,MCAP Cards,PFL053,Flygon,Cosmos Holo,US/UK,Chaos Rising - Chaos Rising Blisters,Phantasmal Flames reprint
