Owned,Set Code,Set,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,ASC,Ascended Heroes,MCAP Cards,ASC008,Chikorita,Pixel Cosmos Holo,US/UK,Ascended Heroes - Ascended Heroes First Partners Deluxe Pin Collection,
,ASC,Ascended Heroes,MCAP Cards,ASC020,Charmander,Pixel Cosmos Holo,US/UK,Ascended Heroes - Ascended Heroes Tech Sticker Collections,
,ASC,Ascended Heroes,MCAP Cards,ASC029,Tepig,Pixel Cosmos Holo,US/UK,Ascended Heroes - Ascended Heroes First Partners Deluxe Pin Collection,
,ASC,Ascended Heroes,MCAP Cards,ASC041,Totodile,Pixel Cosmos Holo,US/UK,Ascended Heroes - Ascended Heroes First Partners Deluxe Pin Collection,
,ASC,Ascended Heroes,MCAP Cards,ASC123,Gastly,Pixel Cosmos Holo,US/UK,Ascended Heroes - Ascended Heroes Tech Sticker Collections,
,ASC,Ascended Heroes,League and Championship Cards,ASC173,Rayquaza,PXP Stamp,US,Ascended Heroes - 2026 Pokemon World Championships merchandise,Attendee promo
,CRI,Chaos Rising,Stamped Cards,,Delphox,Chaos Rising Stamp,US/Australia/New Zealand,Chaos Rising - Retailer Gift With Purchase,Card number to verify; Best Buy or Mr Toys or Toymate or JB Hi-Fi
,CRI,Chaos Rising,Stamped Cards,,Ho-Oh,EB Games Stamp,Canada/Australia,Chaos Rising - Retailer Gift With Purchase,Card number to verify; spend 15 dollars on Pokemon TCG products
,CRI,Chaos Rising,Stamped Cards,,Ho-Oh,GameStop Stamp,US,Chaos Rising - Retailer Gift With Purchase,Card number to verify; spend 15 dollars on Pokemon TCG products
,CRI,Chaos Rising,Stamped Cards,,Keldeo,Chaos Rising Stamp,US,Chaos Rising - Retailer Gift With Purchase,Card number to verify; Hot Topic or Barnes & Noble or BoxLunch
,MEG,Mega Evolution,Stamped Cards,MEG064,Xerneas,Mega Evolution Stamp,US/Australia/New Zealand,Mega Evolution - Retailer Gift With Purchase,Best Buy or JB Hi-Fi; spend 15 dollars on Pokemon TCG products
,MEG,Mega Evolution,Stamped Cards,MEG133,Bulbasaur,Mega Evolution Stamp,US/UK,Mega Evolution - Mega Evolution Booster Display Boxes,Enhanced Booster Display Box bonus card
,MEG,Mega Evolution,Stamped Cards,,Yveltal,EB Games Stamp,Canada/Australia/New Zealand,Mega Evolution - Retailer Gift With Purchase,Card number to verify; spend 15 dollars on Pokemon TCG products
