Generated Set Code,Printed Set Code,Category,Card Name,Card Number,Variant,Region,Override Set Code,Override Category,Exclude,Review Notes,Release Set,Product,Source Rows
MEG,MEG,Stamped Cards,Xerneas,MEG064,Mega Evolution Stamp,US/Australia/New Zealand,,,,,,Mega Evolution - Retailer Gift With Purchase,mega_placeholders.csv:180
MEG,MEG,Stamped Cards,Bulbasaur,MEG133,Mega Evolution Stamp,US/UK,,,,,,Mega Evolution - Mega Evolution Booster Display Boxes,mega_placeholders.csv:23
MEP,MEP,Stamped Cards,Meganium,MEP001,Black Star Promo,US/UK,,,,,,Mega Evolution - Mega Evolution Build & Battle Box,mega_placeholders.csv:2
MEP,MEP,Stamped Cards,Inteleon,MEP002,Black Star Promo,US/UK,,,,,,Mega Evolution - Mega Evolution Build & Battle Box,mega_placeholders.csv:3
MEP,MEP,Stamped Cards,Alakazam,MEP003,Black Star Promo,US/UK,,,,,,Mega Evolution - Mega Evolution Build & Battle Box,mega_placeholders.csv:4
MEP,MEP,Stamped Cards,Lunatone,MEP004,Black Star Promo,US/UK,,,,,,Mega Evolution - Mega Evolution Build & Battle Box,mega_placeholders.csv:5
MEP,MEP,Stamped Cards,Ceruledge,MEP014,Black Star Promo,US/UK,,,,,,Phantasmal Flames - Phantasmal Flames Build & Battle Box,mega_placeholders.csv:38
MEP,MEP,Stamped Cards,Zacian,MEP015,Black Star Promo,US/UK,,,,,,Phantasmal Flames - Phantasmal Flames Build & Battle Box,mega_placeholders.csv:39
MEP,MEP,Stamped Cards,Flygon,MEP016,Black Star Promo,US/UK,,,,,,Phantasmal Flames - Phantasmal Flames Build & Battle Box,mega_placeholders.csv:40
MEP,MEP,Stamped Cards,Toxtricity,MEP017,Black Star Promo,US/UK,,,,,,Phantasmal Flames - Phantasmal Flames Build & Battle Box,mega_placeholders.csv:41
MEP,MEP,Stamped Cards,Serperior,MEP064,Black Star Promo,US/UK,,,,,,Perfect Order - Perfect Order Build & Battle Box,mega_placeholders.csv:89
MEP,MEP,Stamped Cards,Barbaracle,MEP065,Black Star Promo,US/UK,,,,,,Perfect Order - Perfect Order Build & Battle Box,mega_placeholders.csv:90
MEP,MEP,Stamped Cards,Tyrantrum,MEP066,Black Star Promo,US/UK,,,,,,Perfect Order - Perfect Order Build & Battle Box,mega_placeholders.csv:91
MEP,MEP,Stamped Cards,Doublade,MEP067,Black Star Promo,US/UK,,,,,,Perfect Order - Perfect Order Build & Battle Box,mega_placeholders.csv:92
MEP,MEP,Stamped Cards,Delphox,MEP074,Black Star Promo,US/UK,,,,,,Chaos Rising - Chaos Rising Build & Battle Box,mega_placeholders.csv:114
MEP,MEP,Stamped Cards,Ampharos,MEP075,Black Star Promo,US/UK,,,,,,Chaos Rising - Chaos Rising Build & Battle Box,mega_placeholders.csv:115
MEP,MEP,Stamped Cards,Crobat,MEP076,Black Star Promo,US/UK,,,,,,Chaos Rising - Chaos Rising Build & Battle Box,mega_placeholders.csv:116
MEP,MEP,Stamped Cards,Goodra,MEP077,Black Star Promo,US/UK,,,,,,Chaos Rising - Chaos Rising Build & Battle Box,mega_placeholders.csv:117
PFL,PFL,Stamped Cards,Reshiram,PFL017,Phantasmal Flames Stamp,US,,,,,,Phantasmal Flames - Retailer Gift With Purchase,mega_placeholders.csv:185
PFL,PFL,Stamped Cards,Suicune,PFL026,EB Games Stamp,Canada/Australia/New Zealand,,,,,,Phantasmal Flames - Retailer Gift With Purchase,mega_placeholders.csv:184
PFL,PFL,Stamped Cards,Suicune,PFL026,GameStop Stamp,US,,,,,,Phantasmal Flames - Retailer Gift With Purchase,mega_placeholders.csv:183
POR,POR,Stamped Cards,Aurorus,POR024,Perfect Order Stamp,US,,,,,,Perfect Order - Retailer Gift With Purchase,mega_placeholders.csv:190
POR,POR,Stamped Cards,Luxray,POR027,Perfect Order Stamp,US/Australia/New Zealand,,,,,,Perfect Order - Retailer Gift With Purchase,mega_placeholders.csv:189
POR,POR,Stamped Cards,Gengar,POR050,EB Games Stamp,Canada/Australia,,,,,,Perfect Order - Retailer Gift With Purchase,mega_placeholders.csv:188
POR,POR,Stamped Cards,Gengar,POR050,GameStop Stamp,US,,,,,,Perfect Order - Retailer Gift With Purchase,mega_placeholders.csv:187
TEF,TEF,Stamped Cards,Pikachu,TEF051,2026 Pokemon Day Stamp,US/UK,,,,,,Mega Evolution - Pokemon Day 2026 Collection,mega_placeholders.csv:65
WHT,WHT,Stamped Cards,Archeops,WHT051,Excavator Pikachu Stamp,US/UK,,,,,,Black Bolt & White Flare - Pokemon Fossil Museum merchandise,mega_placeholders.csv:132
,,Stamped Cards,Delphox,,Chaos Rising Stamp,US/Australia/New Zealand,,,,,,Chaos Rising - Retailer Gift With Purchase,mega_placeholders.csv:194
,,Stamped Cards,Genesect,,Phantasmal Flames Stamp,US/Australia/New Zealand,,,,,,Phantasmal Flames - Retailer Gift With Purchase,mega_placeholders.csv:186
,,Stamped Cards,Ho-Oh,,EB Games Stamp,Canada/Australia,,,,,,Chaos Rising - Retailer Gift With Purchase,mega_placeholders.csv:192
,,Stamped Cards,Ho-Oh,,GameStop Stamp,US,,,,,,Chaos Rising - Retailer Gift With Purchase,mega_placeholders.csv:191
