Owned,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,Stamped Cards,DRI031,Team Rocket's Moltres ex,Expansion Logo Stamp,US/UK,Black Bolt & White Flare - Team Rocket's Moltres ex Ultra-Premium Collection,
,Stamped Cards,DRI034,Ethan's Typhlosion,Cosmos Holo Expansion Logo Stamp,US/UK,Destined Rivals - Build & Battle Box,One of four possible promo decks
,Stamped Cards,DRI049,Misty's Gyarados,Cosmos Holo Expansion Logo Stamp,US/UK,Destined Rivals - Build & Battle Box,One of four possible promo decks
,Stamped Cards,DRI051,Team Rocket's Articuno,Best Buy Stamp,US,Destined Rivals - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,Stamped Cards,DRI070,Team Rocket's Zapdos,EB Games Stamp,Australia/New Zealand,Destined Rivals - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,Stamped Cards,DRI070,Team Rocket's Zapdos,GameStop Stamp,US/Canada,Destined Rivals - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,Stamped Cards,DRI087,Team Rocket's Mimikyu,Cosmos Holo Expansion Logo Stamp,US/UK,Destined Rivals - Build & Battle Box,One of four possible promo decks
,Stamped Cards,DRI096,Team Rocket's Tyranitar,Cosmos Holo Expansion Logo Stamp,US/UK,Destined Rivals - Build & Battle Box,One of four possible promo decks
,Stamped Cards,DRI208,Team Rocket's Moltres ex,Expansion Logo Stamp,US/UK,Black Bolt & White Flare - Team Rocket's Moltres ex Ultra-Premium Collection,
,Stamped Cards,DRI229,Team Rocket's Moltres ex,Expansion Logo Stamp,US/UK,Black Bolt & White Flare - Team Rocket's Moltres ex Ultra-Premium Collection,
,Staff Cards,DRI034,Ethan's Typhlosion,Staff Stamp,US/UK,Destined Rivals - Build & Battle Box,Prerelease staff variant
,Staff Cards,DRI049,Misty's Gyarados,Staff Stamp,US/UK,Destined Rivals - Build & Battle Box,Prerelease staff variant
,Staff Cards,DRI087,Team Rocket's Mimikyu,Staff Stamp,US/UK,Destined Rivals - Build & Battle Box,Prerelease staff variant
,Staff Cards,DRI096,Team Rocket's Tyranitar,Staff Stamp,US/UK,Destined Rivals - Build & Battle Box,Prerelease staff variant
,Promo Cards,SVP196,Charizard ex,Black Star Promo,US/UK,Destined Rivals - Charizard ex Special Collection,
,Promo Cards,SVP199,Zarude,Cosmos Holo,US/UK,Destined Rivals - Single Pack Blister,
,Promo Cards,SVP200,Eevee,Cosmos Holo,US/UK,Destined Rivals - Single Pack Blister,
,Promo Cards,SVP201,Zebstrika,Cosmos Holo,US/UK,Destined Rivals - 3-Pack Blister,
,Promo Cards,SVP202,Kangaskhan,Cosmos Holo,US/UK,Destined Rivals - 3-Pack Blister,
,Promo Cards,SVP203,Team Rocket's Wobbuffet,Black Star Promo,US/UK,Destined Rivals - Elite Trainer Box,
,Promo Cards,SVP203,Team Rocket's Wobbuffet,Pokemon Center Stamp,US/UK,Destined Rivals - Pokemon Center ETB,
,Promo Cards,SVP204,Cynthia's Garchomp ex,Black Star Promo,US/UK,Destined Rivals - Cynthia's Garchomp ex Premium Collection,
,Promo Cards,SVP205,Team Rocket's Mewtwo ex,Black Star Promo,US/UK,Destined Rivals - Team Rocket's Mewtwo ex Box,
,MCAP Cards,DRI018,Hydrapple,Pixel Cosmos Holo,US/UK,Phantasmal Flames - Phantasmal Flames Blisters,Destined Rivals reprint in Mega-era product | Destined Rivals reprint
,MCAP Cards,DRI034,Ethan's Typhlosion,Non Holo,US/UK,Destined Rivals - Build & Battle Box,Deck-exclusive
,MCAP Cards,DRI042,Blaziken,Pixel Cosmos Holo,US/UK,Phantasmal Flames - Phantasmal Flames Blisters,Destined Rivals reprint in Mega-era product | Destined Rivals reprint
,MCAP Cards,DRI049,Misty's Gyarados,Non Holo,US/UK,Destined Rivals - Build & Battle Box,Deck-exclusive
,MCAP Cards,DRI051,Team Rocket's Articuno,Cosmos Holo,US/UK,Black Bolt & White Flare - Enhanced 2-Pack Blister,Team Rocket's Articuno Zapdos and Tyranitar blister
,MCAP Cards,DRI070,Team Rocket's Zapdos,Cosmos Holo,US/UK,Black Bolt & White Flare - Enhanced 2-Pack Blister,Team Rocket's Articuno Zapdos and Tyranitar blister
,MCAP Cards,DRI087,Team Rocket's Mimikyu,Non Holo,US/UK,Destined Rivals - Build & Battle Box,Deck-exclusive
,MCAP Cards,DRI096,Team Rocket's Tyranitar,Cosmos Holo,US/UK,Black Bolt & White Flare - Enhanced 2-Pack Blister,Team Rocket's Articuno Zapdos and Tyranitar blister
,MCAP Cards,DRI096,Team Rocket's Tyranitar,Non Holo,US/UK,Destined Rivals - Build & Battle Box,Deck-exclusive
,MCAP Cards,DRI102,Cynthia's Gible,Cosmos Holo,US/UK,Destined Rivals - Cynthia's Garchomp ex Premium Collection,
,MCAP Cards,DRI103,Cynthia's Gabite,Cosmos Holo,US/UK,Destined Rivals - Cynthia's Garchomp ex Premium Collection,
,MCAP Cards,DRI149,Team Rocket's Meowth,Cosmos Holo,US/UK,Destined Rivals - Team Rocket's Mewtwo ex Box,
,MCAP Cards,DRI174,Team Rocket's Giovanni,Cosmos Holo,US/UK,Destined Rivals - Team Rocket's Mewtwo ex Box,
,Prize Pack Cards,DRI003,Yanmega ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,DRI008,Cynthia's Roserade,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,Prize Pack Cards,DRI010,Shaymin,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,DRI020,Team Rocket's Spidops,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,Prize Pack Cards,DRI033,Ethan's Quilava,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,DRI034,Ethan's Typhlosion,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,DRI036,Ethan's Magcargo,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,DRI039,Ethan's Ho-Oh ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,DRI081,Team Rocket's Mewtwo ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,DRI103,Cynthia's Gabite,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,DRI104,Cynthia's Garchomp ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,DRI119,Team Rocket's Nidoking ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,DRI122,Team Rocket's Crobat ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
