Owned,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,Stamped Cards,JTG032,Articuno,Cosmos Holo Snowflake Stamp,US/UK,Black Bolt & White Flare - Holiday Calendar 2025,
,Stamped Cards,JTG069,Mimikyu ex,Journey Together Stamp,US/UK,Black Bolt & White Flare - Mimikyu ex & Alcremie ex Premium Collection,Target exclusive
,Stamped Cards,JTG075,Alcremie ex,Journey Together Stamp,US/UK,Black Bolt & White Flare - Mimikyu ex & Alcremie ex Premium Collection,Target exclusive
,Stamped Cards,JTG117,Hop's Snorlax,EB Games Stamp,Australia,Journey Together - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,Stamped Cards,JTG117,Hop's Snorlax,GameStop Stamp,US/Canada,Journey Together - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,Stamped Cards,JTG136,Hop's Dubwool,Best Buy Stamp,US,Journey Together - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,Stamped Cards,JTG167,N's Reshiram,Expansion Logo Stamp,US/UK,Journey Together - Enhanced Booster Display Box,Box topper
,Stamped Cards,SVP181,N's Darmanitan,Black Star Promo,US/UK,Journey Together - Build & Battle Box,One of four possible promo decks
,Stamped Cards,SVP182,Iono's Kilowattrel,Black Star Promo,US/UK,Journey Together - Build & Battle Box,One of four possible promo decks
,Stamped Cards,SVP183,Lillie's Ribombee,Black Star Promo,US/UK,Journey Together - Build & Battle Box,One of four possible promo decks
,Stamped Cards,SVP184,Hop's Snorlax,Black Star Promo,US/UK,Journey Together - Build & Battle Box,One of four possible promo decks
,Staff Cards,SVP181,N's Darmanitan,Staff Stamp,US/UK,Journey Together - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP182,Iono's Kilowattrel,Staff Stamp,US/UK,Journey Together - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP183,Lillie's Ribombee,Staff Stamp,US/UK,Journey Together - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP184,Hop's Snorlax,Staff Stamp,US/UK,Journey Together - Build & Battle Box,Prerelease staff variant
,Promo Cards,SVP185,Yanma,Cosmos Holo,US/UK,Journey Together - Single Pack Blister,
,Promo Cards,SVP186,Scraggy,Cosmos Holo,US/UK,Journey Together - Single Pack Blister,
,Promo Cards,SVP187,Yanmega,Cosmos Holo,US/UK,Journey Together - 3-Pack Blister,
,Promo Cards,SVP188,Scrafty,Cosmos Holo,US/UK,Journey Together - 3-Pack Blister,
,Promo Cards,SVP189,N's Zorua,Black Star Promo,US/UK,Journey Together - Elite Trainer Box,
,Promo Cards,SVP189,N's Zorua,Pokemon Center Stamp,US/UK,Journey Together - Pokemon Center ETB,
,Promo Cards,SVP193,Hop's Zacian ex,Black Star Promo,US/UK,Journey Together - Hop's Zacian ex Box,
,Promo Cards,SVP194,Iono's Bellibolt ex,Black Star Promo,US/UK,Journey Together - Iono's Bellibolt ex Premium Collection,
,Promo Cards,SVP195,Lillie's Clefairy ex,Black Star Promo,US/UK,Journey Together - Lillie Premium Tournament Collection,
,Promo Cards,SVP197,Koraidon ex,Black Star Promo,US/UK,Journey Together - Slashing Legends Tin,Available in hexagonal and octagonal tin designs
,Promo Cards,SVP198,Zacian ex,Black Star Promo,US/UK,Journey Together - Slashing Legends Tin,Available in hexagonal and octagonal tin designs
,Promo Cards,SVP206,Marnie's Morpeko,Black Star Promo,US/UK,Journey Together - Rival Battle Deck - Marnie,
,Promo Cards,SVP207,Steven's Beldum,Black Star Promo,US/UK,Journey Together - Rival Battle Deck - Steven,
,MCAP Cards,JTG018,Meowscarada,Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Blisters,Journey Together reprint in Mega-era product | Journey Together reprint
,MCAP Cards,JTG024,Blaziken ex,Holo,US/UK,Black Bolt & White Flare - Blaziken ex & Volcanion ex Premium Collection,Amazon exclusive
,MCAP Cards,JTG031,Volcanion ex,Holo,US/UK,Black Bolt & White Flare - Blaziken ex & Volcanion ex Premium Collection,Amazon exclusive
,MCAP Cards,JTG041,Wailord,Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Blisters,Journey Together reprint in Mega-era product | Journey Together reprint
,MCAP Cards,JTG052,Iono's Tadbulb,Cosmos Holo,US/UK,Journey Together - Iono's Bellibolt ex Premium Collection,
,MCAP Cards,JTG055,Iono's Kilowattrel,Non Holo,US/UK,Journey Together - Build & Battle Box,Deck-exclusive
,MCAP Cards,JTG085,Lycanroc,Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Blisters,Journey Together reprint in Mega-era product | Journey Together reprint
