Owned,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,Stamped Cards,MEW025,Pikachu,Cosmos Holo Snowflake Stamp,US/UK,Black Bolt & White Flare - Holiday Calendar 2025,
,Stamped Cards,MEW133,Eevee,Cosmos Holo Snowflake Stamp,US/UK,Black Bolt & White Flare - Holiday Calendar 2025,
,Promo Cards,SVP046,Bulbasaur,Pixel Cosmos,US/UK,151 - Poster Collection (Reprint),Early 2024 reprint
,Promo Cards,SVP046,Bulbasaur,Smooth Cosmos,US/UK,151 - Poster Collection,Initial release; later reprinted with Pixel Cosmos
,Promo Cards,SVP047,Charmander,Pixel Cosmos,US/UK,151 - Poster Collection (Reprint),Early 2024 reprint
,Promo Cards,SVP047,Charmander,Smooth Cosmos,US/UK,151 - Poster Collection,Initial release; later reprinted with Pixel Cosmos
,Promo Cards,SVP048,Squirtle,Pixel Cosmos,US/UK,151 - Poster Collection (Reprint),Early 2024 reprint
,Promo Cards,SVP048,Squirtle,Smooth Cosmos,US/UK,151 - Poster Collection,Initial release; later reprinted with Pixel Cosmos
,Promo Cards,SVP049,Zapdos ex,Black Star Promo,US/UK,151 - Zapdos ex Collection,
,Promo Cards,SVP050,Alakazam ex,Black Star Promo,US/UK,151 - Alakazam ex Collection,
,Promo Cards,SVP051,Snorlax,Black Star Promo,US/UK,151 - Elite Trainer Box,
,Promo Cards,SVP051,Snorlax,Pokemon Center Stamp,US/UK,151 - Pokemon Center ETB,
,Promo Cards,SVP052,Mewtwo,Black Star Promo,US/UK,151 - Ultra-Premium Collection,
,Promo Cards,SVP053,Mew ex,Black Star Promo,US/UK,151 - Ultra-Premium Collection,
,Promo Cards,SVP054,Greninja ex,Black Star Promo,US/UK,151 - Greninja ex Battle Deck,Cut from Obsidian Flames during localization
,Promo Cards,SVP055,Kangaskhan ex,Black Star Promo,US/UK,151 - Kangaskhan ex Battle Deck,Alternate artwork
,Promo Cards,SVP056,Charizard ex,Black Star Promo,US/UK,151 - Charizard ex Premium Collection,Alternate artwork
,MCAP Cards,MEW001,Bulbasaur,Cosmos Parallel Holo,US/UK,Stellar Crown - 151 Mini Tin 5-Pack,Costco early October 2024
,MCAP Cards,MEW001,Bulbasaur,Parallel Holo,US/UK,Prismatic Evolutions - 151 Blooming Waters Premium Collection,
,MCAP Cards,MEW003,Venusaur ex,Holo,US/UK,Prismatic Evolutions - 151 Blooming Waters Premium Collection,
,MCAP Cards,MEW004,Charmander,Cosmos Holo,US/UK,Stellar Crown - Charizard ex Super-Premium Collection,
,MCAP Cards,MEW004,Charmander,Cosmos Parallel Holo,US/UK,Stellar Crown - 151 Mini Tin 5-Pack,Costco early October 2024
,MCAP Cards,MEW005,Charmeleon,Cosmos Holo,US/UK,Stellar Crown - Charizard ex Super-Premium Collection,
,MCAP Cards,MEW007,Squirtle,Cosmos Parallel Holo,US/UK,Stellar Crown - 151 Mini Tin 5-Pack,Costco early October 2024
,MCAP Cards,MEW007,Squirtle,Parallel Holo,US/UK,Prismatic Evolutions - 151 Blooming Waters Premium Collection,
,MCAP Cards,MEW009,Blastoise ex,Holo,US/UK,Prismatic Evolutions - 151 Blooming Waters Premium Collection,
,MCAP Cards,MEW025,Pikachu,Cosmos Parallel Holo,US/UK,Stellar Crown - 151 Mini Tin 5-Pack,Costco early October 2024
,MCAP Cards,MEW045,Vileplume,Non Holo,US/UK,Stellar Crown - Tapu Koko & Iron Leaves ex Battle Decks,Exact deck mapping to verify
,MCAP Cards,MEW132,Ditto,Non Holo,US/UK,Stellar Crown - Trainer's Toolkit 2024,
,MCAP Cards,MEW146,Moltres,Non Holo,US/UK,Surging Sparks - Charizard ex League Battle Deck,Exclusive promotional card
,MCAP Cards,MEW205,Mew ex,Metal Card,US/UK,151 - Ultra-Premium Collection,
,Other Cards,MEW063,Abra,Pixel Cosmos,US/UK,151 - Alakazam ex Collection (Reprint),
,Other Cards,MEW063,Abra,Smooth Cosmos,US/UK,151 - Alakazam ex Collection,
,Other Cards,MEW064,Kadabra,Pixel Cosmos,US/UK,151 - Alakazam ex Collection,
,Other Cards,MEW125,Electabuzz,Pixel Cosmos,US/UK,151 - Zapdos ex Collection (Reprint),
,Other Cards,MEW125,Electabuzz,Smooth Cosmos,US/UK,151 - Zapdos ex Collection,
