Owned,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,Stamped Cards,OBF042,Eiscue ex,Snowflake Stamp,US/UK,Shrouded Fable - Holiday Calendar 2024,
,Stamped Cards,OBF086,Espeon,Obsidian Flames Stamp,US,Obsidian Flames - Retailer Gift With Purchase,Best Buy; spend 15 dollars on Pokemon TCG products
,Stamped Cards,OBF130,Umbreon,EB Games Stamp,Australia/New Zealand,Obsidian Flames - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,Stamped Cards,OBF130,Umbreon,GameStop Stamp,US/Canada,Obsidian Flames - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,Stamped Cards,SVP036,Palafin,Black Star Promo,US/UK,Obsidian Flames - Build & Battle Box | Obsidian Flames - Build & Battle Stadium,One of four possible promo decks | Contains two Build & Battle Boxes
,Stamped Cards,SVP037,Cleffa,Black Star Promo,US/UK,Obsidian Flames - Build & Battle Box | Obsidian Flames - Build & Battle Stadium,One of four possible promo decks | Contains two Build & Battle Boxes
,Stamped Cards,SVP038,Togekiss,Black Star Promo,US/UK,Obsidian Flames - Build & Battle Box | Obsidian Flames - Build & Battle Stadium,One of four possible promo decks | Contains two Build & Battle Boxes
,Stamped Cards,SVP039,Mawile,Black Star Promo,US/UK,Obsidian Flames - Build & Battle Box | Obsidian Flames - Build & Battle Stadium,One of four possible promo decks | Contains two Build & Battle Boxes
,Staff Cards,SVP036,Palafin,Staff Stamp,US/UK,Obsidian Flames - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP037,Cleffa,Staff Stamp,US/UK,Obsidian Flames - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP038,Togekiss,Staff Stamp,US/UK,Obsidian Flames - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP039,Mawile,Staff Stamp,US/UK,Obsidian Flames - Build & Battle Box,Prerelease staff variant
,Promo Cards,SVP033,Meowscarada ex,Black Star Promo,US/UK,Obsidian Flames - Paldea Partners Tin,Available in hexagonal and octagonal tin designs
,Promo Cards,SVP034,Skeledirge ex,Black Star Promo,US/UK,Obsidian Flames - Paldea Partners Tin,Available in hexagonal and octagonal tin designs
,Promo Cards,SVP035,Quaquaval ex,Black Star Promo,US/UK,Obsidian Flames - Paldea Partners Tin,Available in hexagonal and octagonal tin designs
,Promo Cards,SVP040,Pawmi,Smooth Cosmos,US/UK,Obsidian Flames - Single Pack Blister,
,Promo Cards,SVP041,Paldean Wooper,Smooth Cosmos,US/UK,Obsidian Flames - Single Pack Blister,
,Promo Cards,SVP042,Houndstone,Pixel Cosmos,US/UK,Obsidian Flames - 3-Pack Blister (Reprint),Mid-2024 reprint
,Promo Cards,SVP042,Houndstone,Smooth Cosmos,US/UK,Obsidian Flames - 3-Pack Blister,Initial release; later reprinted with Pixel Cosmos
,Promo Cards,SVP043,Eevee,Pixel Cosmos,US/UK,Obsidian Flames - 3-Pack Blister (Reprint),Mid-2024 reprint
,Promo Cards,SVP043,Eevee,Smooth Cosmos,US/UK,Obsidian Flames - 3-Pack Blister,Initial release; later reprinted with Pixel Cosmos
,Promo Cards,SVP044,Charmander,Black Star Promo,US/UK,Obsidian Flames - Elite Trainer Box,
,Promo Cards,SVP044,Charmander,Pokemon Center Stamp,US/UK,Obsidian Flames - Pokemon Center ETB,
,MCAP Cards,OBF013,Rowlet,Cosmos Holo,Europe/Canada,Stellar Crown - Decidueye ex Box,Europe September 20 2024; Canada October 2024
,MCAP Cards,OBF014,Dartrix,Cosmos Holo,Europe/Canada,Stellar Crown - Decidueye ex Box,Europe September 20 2024; Canada October 2024
,MCAP Cards,OBF015,Decidueye ex,Holo,Europe/Canada,Stellar Crown - Decidueye ex Box,Europe September 20 2024; Canada October 2024
,MCAP Cards,OBF016,Bounsweet,Cosmos Holo,US/UK,Surging Sparks - Tsareena ex Premium Collection,Walmart mid-November 2024
,MCAP Cards,OBF017,Steenee,Cosmos Holo,US/UK,Surging Sparks - Tsareena ex Premium Collection,Walmart mid-November 2024
,MCAP Cards,OBF024,Capsakid,Non Holo,US/UK,Temporal Forces - Stage 1 Blister,Included with Scovillain blister
,MCAP Cards,OBF025,Scovillain,Cosmos Holo,US/UK,Temporal Forces - Stage 1 Blister,
,MCAP Cards,OBF026,Charmander,Mirage Holo,US/UK,151 - Charizard ex Premium Collection,Product-exclusive holo treatment
,MCAP Cards,OBF027,Charmeleon,Mirage Holo,US/UK,151 - Charizard ex Premium Collection,Product-exclusive holo treatment
,MCAP Cards,OBF056,Froakie,Cosmos Holo,US/UK,Shrouded Fable - Greninja ex Special Illustration Collection,
,MCAP Cards,OBF057,Frogadier,Cosmos Holo,US/UK,Shrouded Fable - Greninja ex Special Illustration Collection,
,MCAP Cards,OBF060,Finizen,Non Holo,US/UK,Temporal Forces - Stage 1 Blister,Included with Palafin blister
,MCAP Cards,OBF062,Palafin,Cosmos Holo,US/UK,Temporal Forces - Stage 1 Blister | Temporal Forces - Enhanced 2-Pack Blister,Palafin Baxcalibur and Garganacl blister
,MCAP Cards,OBF062,Palafin,Non Holo,US/UK,Obsidian Flames - Build & Battle Box | Obsidian Flames - Build & Battle Stadium,Deck-exclusive | Deck-exclusive; contains two Build & Battle Boxes
,MCAP Cards,OBF066,Tyranitar ex,Holo,US/UK,Surging Sparks - Tyranitar ex Premium Collection,Walmart mid-November 2024
,MCAP Cards,OBF072,Toxtricity,Non Holo,US/UK,Obsidian Flames - Build & Battle Box | Obsidian Flames - Build & Battle Stadium,Deck-exclusive | Deck-exclusive; contains two Build & Battle Boxes
,MCAP Cards,OBF083,Togepi,Non Holo,US/UK,Temporal Forces - Premium Checklane Blister,Included with Togekiss blister
,MCAP Cards,OBF084,Togetic,Non Holo,US/UK,Temporal Forces - Premium Checklane Blister,Included with Togekiss blister
,MCAP Cards,OBF085,Togekiss,Cosmos Holo,US/UK,Temporal Forces - Premium Checklane Blister,
,MCAP Cards,OBF085,Togekiss,Non Holo,US/UK,Obsidian Flames - Build & Battle Box | Obsidian Flames - Build & Battle Stadium,Deck-exclusive | Deck-exclusive; contains two Build & Battle Boxes
,MCAP Cards,OBF100,Greavard,Cosmos Holo,US/UK,Stellar Crown - Houndstone ex Box,
,MCAP Cards,OBF105,Larvitar,Cosmos Holo,US/UK,Surging Sparks - Tyranitar ex Premium Collection,Walmart mid-November 2024
,MCAP Cards,OBF106,Pupitar,Cosmos Holo,US/UK,Surging Sparks - Tyranitar ex Premium Collection,Walmart mid-November 2024
,MCAP Cards,OBF125,Charizard ex,Reprint,US/UK,Shrouded Fable - Tera Brawlers Premium Collection,GameStop exclusive
,MCAP Cards,OBF136,Darkrai,Cosmos Holo,US/UK,Temporal Forces - Triple Whammy Tin,Australia early May 2024; North America early October 2024
,MCAP Cards,OBF141,Scizor,Cosmos Holo,US/UK,Surging Sparks - Meddling Sparks Premium Collection,Target exclusive
,MCAP Cards,OBF148,Pawniard,Cosmos Holo,US/UK,Shrouded Fable - Kingambit Illustration Collection,
,MCAP Cards,OBF149,Bisharp,Cosmos Holo,US/UK,Shrouded Fable - Kingambit Illustration Collection,
,MCAP Cards,OBF159,Dragonite ex,Reprint,US/UK,Shrouded Fable - Tera Brawlers Premium Collection,GameStop exclusive
,MCAP Cards,OBF179,Greedent ex,Reprint,US/UK,Shrouded Fable - Tera Brawlers Premium Collection,GameStop exclusive
,Other Cards,OBF073,Pawmot ex,Holo,US/UK,Paldean Fates - Paldea Adventure Chest,
,Other Cards,OBF135,Absol ex,Holo,US/UK,Shrouded Fable - Dark Powers ex Special Collection,
