Owned,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,Promo Cards,SVP069,Fidough,Black Star Promo,US/UK,Paldean Fates - Tech Sticker Collection,Cut from Paldean Fates during localization
,Promo Cards,SVP070,Greavard,Black Star Promo,US/UK,Paldean Fates - Tech Sticker Collection,Cut from Paldean Fates during localization
,Promo Cards,SVP071,Maschiff,Black Star Promo,US/UK,Paldean Fates - Tech Sticker Collection,Cut from Paldean Fates during localization
,Promo Cards,SVP072,Great Tusk ex,Black Star Promo,US/UK,Paldean Fates - Paldean Fates Tin,Available in hexagonal and octagonal tin designs
,Promo Cards,SVP073,Iron Treads ex,Black Star Promo,US/UK,Paldean Fates - Paldean Fates Tin,Available in hexagonal and octagonal tin designs
,Promo Cards,SVP074,Charizard ex,Black Star Promo,US/UK,Paldean Fates - Paldean Fates Tin,Available in hexagonal and octagonal tin designs
,Promo Cards,SVP075,Mimikyu,Black Star Promo,US/UK,Paldean Fates - Elite Trainer Box,Cut from Paldean Fates during localization
,Promo Cards,SVP075,Mimikyu,Pokemon Center Stamp,US/UK,Paldean Fates - Pokemon Center ETB,
,Promo Cards,SVP076,Sprigatito,Black Star Promo,US/UK,Paldean Fates - Meowscarada ex Premium Collection,Cut from Paldean Fates during localization
,Promo Cards,SVP077,Floragato,Black Star Promo,US/UK,Paldean Fates - Meowscarada ex Premium Collection,Cut from Paldean Fates during localization
,Promo Cards,SVP078,Meowscarada ex,Black Star Promo,US/UK,Paldean Fates - Meowscarada ex Premium Collection,Cut from Paldean Fates during localization
,Promo Cards,SVP079,Fuecoco,Black Star Promo,US/UK,Paldean Fates - Skeledirge ex Premium Collection,Cut from Paldean Fates during localization
,Promo Cards,SVP080,Crocalor,Black Star Promo,US/UK,Paldean Fates - Skeledirge ex Premium Collection,Cut from Paldean Fates during localization
,Promo Cards,SVP081,Skeledirge ex,Black Star Promo,US/UK,Paldean Fates - Skeledirge ex Premium Collection,Cut from Paldean Fates during localization
,Promo Cards,SVP082,Quaxly,Black Star Promo,US/UK,Paldean Fates - Quaquaval ex Premium Collection,Cut from Paldean Fates during localization
,Promo Cards,SVP083,Quaxwell,Black Star Promo,US/UK,Paldean Fates - Quaquaval ex Premium Collection,Cut from Paldean Fates during localization
,Promo Cards,SVP084,Quaquaval ex,Black Star Promo,US/UK,Paldean Fates - Quaquaval ex Premium Collection,Cut from Paldean Fates during localization
,Promo Cards,SVP086,Mabosstiff ex,Black Star Promo,US/UK,Paldean Fates - Mabosstiff ex Box | Paldean Fates - Mabosstiff ex Showcase,
,Promo Cards,SVP087,Sprigatito ex,Black Star Promo,US/UK,Paldean Fates - Paldea Adventure Chest,
,Promo Cards,SVP088,Pikachu,Black Star Promo,US/UK,Paldean Fates - Paldea Adventure Chest,
,MCAP Cards,PAF006,Espathra ex,Reprint,US/UK,Shrouded Fable - Tera Team Premium Collection,
,MCAP Cards,PAF007,Charmander,Cosmos Holo,US/UK,Destined Rivals - Charizard ex Special Collection,
,MCAP Cards,PAF008,Charmeleon,Cosmos Holo,US/UK,Destined Rivals - Charizard ex Special Collection,
,MCAP Cards,PAF010,Magmortar,Non Holo,US/UK,Twilight Masquerade - Victini & Miraidon ex Battle Decks,Exact deck mapping to verify
,MCAP Cards,PAF018,Pikachu,Cosmos Parallel Holo,US/UK,Stellar Crown - Paldean Fates Mini Tin 5-Pack,Costco early October 2024
,MCAP Cards,PAF019,Raichu,Non Holo,US/UK,Twilight Masquerade - Victini & Miraidon ex Battle Decks,Exact deck mapping to verify
,MCAP Cards,PAF038,Fidough,Cosmos Parallel Holo,US/UK,Stellar Crown - Paldean Fates Mini Tin 5-Pack,Costco early October 2024
,MCAP Cards,PAF042,Greavard,Cosmos Parallel Holo,US/UK,Stellar Crown - Paldean Fates Mini Tin 5-Pack,Costco early October 2024
,MCAP Cards,PAF062,Maschiff,Cosmos Parallel Holo,US/UK,Stellar Crown - Paldean Fates Mini Tin 5-Pack,Costco early October 2024
