Owned,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,Stamped Cards,PAL046,Delibird,Cosmos Holo Snowflake Stamp,US/UK,Black Bolt & White Flare - Holiday Calendar 2025,
,Stamped Cards,PAL053,Cetoddle,Cosmos Holo Snowflake Stamp,US/UK,Shrouded Fable - Holiday Calendar 2024,
,Stamped Cards,PAL058,Frigibax,Cosmos Holo Snowflake Stamp,US/UK,Shrouded Fable - Holiday Calendar 2024,
,Stamped Cards,PAL061,Chien-Pao ex,Snowflake Stamp,US/UK,Shrouded Fable - Holiday Calendar 2024,
,Stamped Cards,PAL063,Pikachu ex,Snowflake Stamp,US/UK,Shrouded Fable - Holiday Calendar 2024,
,Stamped Cards,PAL105,Tinkaton,GameStop Stamp,US/Canada,Paldea Evolved - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,Stamped Cards,PAL105,Tinkaton,Paldea Evolved Stamp,US,Paldea Evolved - Retailer Gift With Purchase,Best Buy; spend 15 dollars on Pokemon TCG products
,Stamped Cards,PAL185,Iono,Cosmos Holo Iono Zone Stamp,US/UK,Temporal Forces - Iono Premium Tournament Collection,Three copies included
,Stamped Cards,SVP019,Baxcalibur,Black Star Promo,US/UK,Paldea Evolved - Build & Battle Box | Paldea Evolved - Build & Battle Stadium,One of four possible promo decks | Contains two Build & Battle Boxes
,Stamped Cards,SVP020,Tinkaton,Black Star Promo,US/UK,Paldea Evolved - Build & Battle Box | Paldea Evolved - Build & Battle Stadium,One of four possible promo decks | Contains two Build & Battle Boxes
,Stamped Cards,SVP021,Murkrow,Black Star Promo,US/UK,Paldea Evolved - Build & Battle Box | Paldea Evolved - Build & Battle Stadium,One of four possible promo decks | Contains two Build & Battle Boxes
,Stamped Cards,SVP022,Pelipper,Black Star Promo,US/UK,Paldea Evolved - Build & Battle Box | Paldea Evolved - Build & Battle Stadium,One of four possible promo decks | Contains two Build & Battle Boxes
,Staff Cards,SVP019,Baxcalibur,Staff Stamp,US/UK,Paldea Evolved - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP020,Tinkaton,Staff Stamp,US/UK,Paldea Evolved - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP021,Murkrow,Staff Stamp,US/UK,Paldea Evolved - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP022,Pelipper,Staff Stamp,US/UK,Paldea Evolved - Build & Battle Box,Prerelease staff variant
,Promo Cards,SVP023,Smoliv,Pixel Cosmos,US/UK,Paldea Evolved - Single Pack Blister (Reprint),Mid-2024 reprint
,Promo Cards,SVP023,Smoliv,Smooth Cosmos,US/UK,Paldea Evolved - Single Pack Blister,Initial release; later reprinted with Pixel Cosmos
,Promo Cards,SVP024,Growlithe,Pixel Cosmos,US/UK,Paldea Evolved - Single Pack Blister (Reprint),Mid-2024 reprint
,Promo Cards,SVP024,Growlithe,Smooth Cosmos,US/UK,Paldea Evolved - Single Pack Blister,Initial release; later reprinted with Pixel Cosmos
,Promo Cards,SVP025,Tinkatink,Smooth Cosmos,US/UK,Paldea Evolved - 3-Pack Blister,
,Promo Cards,SVP026,Varoom,Pixel Cosmos,US/UK,Paldea Evolved - 3-Pack Blister (Reprint),Mid-2024 reprint
,Promo Cards,SVP026,Varoom,Smooth Cosmos,US/UK,Paldea Evolved - 3-Pack Blister,Initial release; later reprinted with Pixel Cosmos
,Promo Cards,SVP027,Pikachu,Black Star Promo,US/UK,Paldea Evolved - Elite Trainer Box,
,Promo Cards,SVP027,Pikachu,Pokemon Center Stamp,US/UK,Paldea Evolved - Pokemon Center ETB,
,Promo Cards,SVP028,Miraidon ex,Black Star Promo,US/UK,Paldea Evolved - Paldea Legends Tin,Available in hexagonal and octagonal tin designs
,Promo Cards,SVP029,Koraidon ex,Black Star Promo,US/UK,Paldea Evolved - Paldea Legends Tin,Available in hexagonal and octagonal tin designs
,Promo Cards,SVP030,Chien-Pao ex,Black Star Promo,US/UK,Paldea Evolved - Chien-Pao ex Battle Deck,Alternate artwork
,Promo Cards,SVP031,Tinkaton ex,Black Star Promo,US/UK,Paldea Evolved - Tinkaton ex Battle Deck,Cut from Paldea Evolved during localization
,Promo Cards,SVP032,Annihilape ex,Black Star Promo,US/UK,Paldea Evolved - Annihilape ex Box,Cut from Paldea Evolved during localization
,MCAP Cards,PAL013,Sprigatito,Mirage Holo,US/UK,Obsidian Flames - Summer 2023 Collector Chest,Product-exclusive holo treatment
,MCAP Cards,PAL021,Lokix,Non Holo,US/UK,Paldea Evolved - Build & Battle Box | Paldea Evolved - Build & Battle Stadium,Deck-exclusive | Deck-exclusive; contains two Build & Battle Boxes
,MCAP Cards,PAL034,Fuecoco,Mirage Holo,US/UK,Obsidian Flames - Summer 2023 Collector Chest,Product-exclusive holo treatment
,MCAP Cards,PAL039,Charcadet,Non Holo,US/UK,Paradox Rift - Stage 1 Blister,Included with Ceruledge blister
,MCAP Cards,PAL043,Gyarados,Pixel Cosmos,US/UK,Paradox Rift - Paldea Friends Mini Tin 5-Pack,
,MCAP Cards,PAL050,Quaxly,Mirage Holo,US/UK,Obsidian Flames - Summer 2023 Collector Chest,Product-exclusive holo treatment
,MCAP Cards,PAL058,Frigibax,Non Holo,US/UK,Temporal Forces - Premium Checklane Blister,Included with Baxcalibur blister
,MCAP Cards,PAL059,Arctibax,Non Holo,US/UK,Temporal Forces - Premium Checklane Blister,Included with Baxcalibur blister
,MCAP Cards,PAL060,Baxcalibur,Cosmos Holo,US/UK,Temporal Forces - Premium Checklane Blister | Temporal Forces - Enhanced 2-Pack Blister,Palafin Baxcalibur and Garganacl blister
,MCAP Cards,PAL060,Baxcalibur,Non Holo,US/UK,Paldea Evolved - Build & Battle Box | Paldea Evolved - Build & Battle Stadium | Paldea Evolved - Chien-Pao ex Battle Deck | Obsidian Flames - Quaquaval ex Deluxe Battle Deck,Deck-exclusive | Deck-exclusive; contains two Build & Battle Boxes | Rereleased promotional card
,MCAP Cards,PAL071,Luxray,Cosmos Holo,US/UK,Surging Sparks - Meddling Sparks Premium Collection,Target exclusive
,MCAP Cards,PAL071,Luxray,Pixel Cosmos,US/UK,Paradox Rift - Paldea Friends Mini Tin 5-Pack,Some bundles mistakenly included a second Klawf instead
,MCAP Cards,PAL074,Pawmi,Cosmos Holo,US/UK,Paldean Fates - Paldea Adventure Chest,
,MCAP Cards,PAL075,Pawmo,Cosmos Holo,US/UK,Paldean Fates - Paldea Adventure Chest,
,MCAP Cards,PAL075,Rhydon,Non Holo,US/UK,Journey Together - Premium Checklane Blister,Included with Rhyperior blister
,MCAP Cards,PAL076,Pawmot,Reprint,US/UK,Paradox Rift - Enhanced 2-Pack Blister,
,MCAP Cards,PAL093,Dedenne ex,Reprint,US/UK,Shrouded Fable - Tera Brawlers Premium Collection,GameStop exclusive
,MCAP Cards,PAL098,Ceruledge,Cosmos Holo,US/UK,Paradox Rift - Stage 1 Blister | Temporal Forces - Armarouge ex Premium Collection,
,MCAP Cards,PAL099,Klink,Non Holo,US/UK,Journey Together - Premium Checklane Blister,Included with Klinklang blister
,MCAP Cards,PAL100,Klang,Non Holo,US/UK,Journey Together - Premium Checklane Blister,Included with Klinklang blister
,MCAP Cards,PAL102,Tinkatink,Non Holo,US/UK,Paradox Rift - Premium Checklane Blister,Included with Tinkaton blister
,MCAP Cards,PAL103,Meltan,Non Holo,US/UK,Journey Together - Stage 1 Blister,Included with Melmetal blister
,MCAP Cards,PAL104,Tinkatuff,Non Holo,US/UK,Paradox Rift - Premium Checklane Blister,Included with Tinkaton blister
,MCAP Cards,PAL105,Tinkaton,Cosmos Holo,US/UK,Paradox Rift - Premium Checklane Blister,
,MCAP Cards,PAL105,Tinkaton,Non Holo,US/UK,Paldea Evolved - Build & Battle Box | Paldea Evolved - Build & Battle Stadium,Deck-exclusive | Deck-exclusive; contains two Build & Battle Boxes
,MCAP Cards,PAL106,Duraludon,Non Holo,US/UK,Journey Together - Stage 1 Blister,Included with Archaludon blister
,MCAP Cards,PAL106,Mankey,Pixel Cosmos,US/UK,Paldea Evolved - Annihilape ex Box,Product-exclusive holo treatment
,MCAP Cards,PAL107,Primeape,Pixel Cosmos,US/UK,Paldea Evolved - Annihilape ex Box,Product-exclusive holo treatment
,MCAP Cards,PAL110,Larvitar,Cosmos Holo,US/UK,Temporal Forces - Triple Whammy Tin,Australia early May 2024; North America early October 2024
,MCAP Cards,PAL111,Pupitar,Cosmos Holo,US/UK,Temporal Forces - Triple Whammy Tin,Australia early May 2024; North America early October 2024
,MCAP Cards,PAL116,Rockruff,Cosmos Holo,Europe/Canada,Shrouded Fable - Lycanroc ex Box,Europe late August 2024; Canada late October 2024
,MCAP Cards,PAL117,Lycanroc ex,Holo,Europe/Canada,Shrouded Fable - Lycanroc ex Box,Europe late August 2024; Canada late October 2024
,MCAP Cards,PAL123,Garganacl,Cosmos Holo,US/UK,Temporal Forces - Enhanced 2-Pack Blister,Palafin Baxcalibur and Garganacl blister
,MCAP Cards,PAL124,Glimmet,Non Holo,US/UK,Paradox Rift - Stage 1 Blister,Included with Glimmora blister
,MCAP Cards,PAL126,Glimmora,Cosmos Holo,US/UK,Paradox Rift - Stage 1 Blister,
,MCAP Cards,PAL135,Tyranitar,Cosmos Holo,US/UK,Temporal Forces - Triple Whammy Tin,Australia early May 2024; North America early October 2024
,MCAP Cards,PAL136,Sableye,Cosmos Holo,US/UK,Temporal Forces - Triple Whammy Tin,Australia early May 2024; North America early October 2024
,MCAP Cards,PAL138,Deino,Non Holo,US/UK,Paradox Rift - Premium Checklane Blister,Included with Hydreigon blister
,MCAP Cards,PAL139,Zweilous,Non Holo,US/UK,Paradox Rift - Premium Checklane Blister,Included with Hydreigon blister
,MCAP Cards,PAL140,Hydreigon,Cosmos Holo,US/UK,Paradox Rift - Premium Checklane Blister,
,MCAP Cards,PAL142,Maschiff,Cosmos Holo,US/UK,Paldean Fates - Mabosstiff ex Box,
,MCAP Cards,PAL151,Orthworm,Non Holo,US/UK,Temporal Forces - Houndoom & Melmetal ex Battle Decks,Exact deck mapping to verify
,MCAP Cards,PAL151,Orthworm,Pixel Cosmos,US/UK,Paradox Rift - Paldea Friends Mini Tin 5-Pack,
,MCAP Cards,PAL160,Slakoth,Cosmos Holo,US/UK,Temporal Forces - Triple Whammy Tin,Australia early May 2024; North America early October 2024
,MCAP Cards,PAL161,Vigoroth,Cosmos Holo,US/UK,Temporal Forces - Triple Whammy Tin,Australia early May 2024; North America early October 2024
,MCAP Cards,PAL162,Slaking,Cosmos Holo,US/UK,Temporal Forces - Triple Whammy Tin,Australia early May 2024; North America early October 2024
,MCAP Cards,PAL167,Tandemaus,Cosmos Holo,US/UK,Paldean Fates - Paldea Adventure Chest,
,MCAP Cards,PAL172,Boss's Orders,Non Holo,US/UK,Paldea Evolved - Build & Battle Box | Paldea Evolved - Build & Battle Stadium | Obsidian Flames - Quaquaval ex Deluxe Battle Deck | 151 - Greninja & Kangaskhan ex Battle Decks | Paradox Rift - Miraidon ex League Battle Deck | Temporal Forces - Ninetales & Zapdos ex Deluxe Battle Decks | Temporal Forces - Gardevoir ex League Battle Deck | Shrouded Fable - Koraidon & Miraidon ex Deluxe Battle Decks | Surging Sparks - Charizard ex League Battle Deck | Journey Together - Dragapult ex League Battle Deck,Deck-exclusive | Deck-exclusive; contains two Build & Battle Boxes | Rereleased promotional card | Rereleased promotional card; exact deck mapping to verify
,MCAP Cards,PAL172,Boss's Orders [Ghetsis],Non Holo,US/UK,Mega Evolution - Trainer's Toolkit 2025,Paldea Evolved reprint in Mega-era product | Paldea Evolved reprint
