Owned,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,Stamped Cards,PRE006,Leafeon ex,Expansion Logo Stamp,US/UK,Prismatic Evolutions - Surprise Box,One of nine possible promo cards
,Stamped Cards,PRE014,Flareon ex,Expansion Logo Stamp,US/UK,Prismatic Evolutions - Surprise Box,One of nine possible promo cards
,Stamped Cards,PRE023,Vaporeon ex,Expansion Logo Stamp,US/UK,Prismatic Evolutions - Surprise Box,One of nine possible promo cards
,Stamped Cards,PRE026,Glaceon ex,Expansion Logo Stamp,US/UK,Prismatic Evolutions - Surprise Box,One of nine possible promo cards
,Stamped Cards,PRE026,Glaceon ex,Snowflake Stamp,US/UK,Black Bolt & White Flare - Holiday Calendar 2025,
,Stamped Cards,PRE030,Jolteon ex,Expansion Logo Stamp,US/UK,Prismatic Evolutions - Surprise Box,One of nine possible promo cards
,Stamped Cards,PRE034,Espeon ex,Expansion Logo Stamp,US/UK,Prismatic Evolutions - Surprise Box,One of nine possible promo cards
,Stamped Cards,PRE041,Sylveon ex,Expansion Logo Stamp,US/UK,Prismatic Evolutions - Surprise Box,One of nine possible promo cards
,Stamped Cards,PRE060,Umbreon ex,Expansion Logo Stamp,US/UK,Prismatic Evolutions - Surprise Box,One of nine possible promo cards
,Stamped Cards,PRE074,Eevee,Cosmos Parallel Holo Pokemon Day 2025 Stamp,US/UK,Prismatic Evolutions - Prismatic Evolutions Two Pack Blister,
,Stamped Cards,PRE075,Eevee ex,Expansion Logo Stamp,US/UK,Prismatic Evolutions - Surprise Box,One of nine possible promo cards
,Stamped Cards,PRE082,Lugia ex,Prismatic Evolutions Stamp,US/UK,Black Bolt & White Flare - Lugia ex & Latias ex Premium Collection,Target exclusive
,Promo Cards,SVP167,Flareon,Cosmos Holo,US/UK,Prismatic Evolutions - Poster Collection,
,Promo Cards,SVP168,Vaporeon,Cosmos Holo,US/UK,Prismatic Evolutions - Poster Collection,
,Promo Cards,SVP169,Jolteon,Cosmos Holo,US/UK,Prismatic Evolutions - Poster Collection,
,Promo Cards,SVP170,Leafeon,Cosmos Holo,US/UK,Prismatic Evolutions - Tech Sticker Collection,
,Promo Cards,SVP171,Glaceon,Cosmos Holo,US/UK,Prismatic Evolutions - Tech Sticker Collection,
,Promo Cards,SVP172,Sylveon,Cosmos Holo,US/UK,Prismatic Evolutions - Tech Sticker Collection,
,Promo Cards,SVP173,Eevee,Black Star Promo,US/UK,Prismatic Evolutions - Elite Trainer Box,
,Promo Cards,SVP173,Eevee,Pokemon Center Stamp,US/UK,Prismatic Evolutions - Pokemon Center ETB,
,Promo Cards,SVP174,Eevee ex,Black Star Promo,US/UK,Journey Together - Prismatic Evolutions Super-Premium Collection,Review: Released after Journey Together; track with Prismatic Evolutions master set
,Promo Cards,SVP178,Kyogre ex,Black Star Promo,US/UK,Prismatic Evolutions - Azure Legends Tin,Available in hexagonal and octagonal tin designs
,Promo Cards,SVP179,Xerneas ex,Black Star Promo,US/UK,Prismatic Evolutions - Azure Legends Tin,Available in hexagonal and octagonal tin designs
,Promo Cards,SVP180,Dialga ex,Black Star Promo,US/UK,Prismatic Evolutions - Azure Legends Tin,Available in hexagonal and octagonal tin designs
,Prize Pack Cards,PRE004,Budew,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted | Official card list; one checkbox mark extracted
,Prize Pack Cards,PRE006,Leafeon ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,PRE014,Flareon ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,PRE023,Vaporeon ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,PRE026,Glaceon ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,PRE030,Jolteon ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,PRE034,Espeon ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,PRE060,Umbreon ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,PRE075,Eevee ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,PRE086,Regigigas,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
