Owned,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,Stamped Cards,SCR001,Venusaur ex,Expansion Logo Stamp,US/UK,Black Bolt & White Flare - Venusaur ex & Blastoise ex Premium Collection,
,Stamped Cards,SCR030,Blastoise ex,Expansion Logo Stamp,US/UK,Black Bolt & White Flare - Venusaur ex & Blastoise ex Premium Collection,
,Stamped Cards,SCR107,Archaludon,EB Games Stamp,Australia/New Zealand,Stellar Crown - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,Stamped Cards,SCR107,Archaludon,GameStop Stamp,US/Canada,Stellar Crown - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,Stamped Cards,SCR149,Crabominable,Snowflake Stamp,US/UK,Black Bolt & White Flare - Holiday Calendar 2025,
,Stamped Cards,SVP133,Ledian,Black Star Promo,US/UK,Stellar Crown - Build & Battle Box,One of four possible promo decks
,Stamped Cards,SVP134,Crabominable,Black Star Promo,US/UK,Stellar Crown - Build & Battle Box,One of four possible promo decks
,Stamped Cards,SVP135,Drifblim,Black Star Promo,US/UK,Stellar Crown - Build & Battle Box,One of four possible promo decks
,Stamped Cards,SVP136,Bouffalant,Black Star Promo,US/UK,Stellar Crown - Build & Battle Box,One of four possible promo decks
,Staff Cards,SVP133,Ledian,Staff Stamp,US/UK,Stellar Crown - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP134,Crabominable,Staff Stamp,US/UK,Stellar Crown - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP135,Drifblim,Staff Stamp,US/UK,Stellar Crown - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP136,Bouffalant,Staff Stamp,US/UK,Stellar Crown - Build & Battle Box,Prerelease staff variant
,Promo Cards,SVP137,Horsea,Cosmos Holo,US/UK,Stellar Crown - Single Pack Blister,
,Promo Cards,SVP138,Porygon2,Cosmos Holo,US/UK,Stellar Crown - Single Pack Blister,
,Promo Cards,SVP139,Latias,Cosmos Holo,US/UK,Stellar Crown - 3-Pack Blister,
,Promo Cards,SVP140,Tinkaton,Pixel Cosmos,US/UK,Stellar Crown - 3-Pack Blister,Also available as Smooth Cosmos
,Promo Cards,SVP140,Tinkaton,Smooth Cosmos,US/UK,Stellar Crown - 3-Pack Blister,Also available as Pixel Cosmos
,Promo Cards,SVP141,Noctowl,Black Star Promo,US/UK,Stellar Crown - Elite Trainer Box,
,Promo Cards,SVP141,Noctowl,Pokemon Center Stamp,US/UK,Stellar Crown - Pokemon Center ETB,
,Promo Cards,SVP144,Gouging Fire ex,Black Star Promo,US/UK,Stellar Crown - Paradox Destinies Tin,Available in hexagonal and octagonal tin designs
,Promo Cards,SVP145,Raging Bolt ex,Black Star Promo,US/UK,Stellar Crown - Paradox Destinies Tin,Available in hexagonal and octagonal tin designs
,Promo Cards,SVP146,Iron Crown ex,Black Star Promo,US/UK,Stellar Crown - Paradox Destinies Tin,Available in hexagonal and octagonal tin designs
