Owned,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,Promo Cards,SVP129,Pecharunt,Black Star Promo,US/UK,Shrouded Fable - Elite Trainer Box,
,Promo Cards,SVP129,Pecharunt,Pokemon Center Stamp,US/UK,Shrouded Fable - Pokemon Center ETB,
,Promo Cards,SVP130,Kingambit,Black Star Promo,US/UK,Shrouded Fable - Kingambit Illustration Collection,
,Promo Cards,SVP131,Kingdra ex,Black Star Promo,US/UK,Shrouded Fable - Kingdra ex Special Illustration Collection,
,Promo Cards,SVP132,Greninja ex,Black Star Promo,US/UK,Shrouded Fable - Greninja ex Special Illustration Collection,
,Promo Cards,SVP149,Pecharunt,Black Star Promo,US/UK,Shrouded Fable - Three-Booster Pack and Promo Card Blister,
,MCAP Cards,SFA010,Horsea,Cosmos Holo,US/UK,Shrouded Fable - Kingdra ex Special Illustration Collection,
,MCAP Cards,SFA011,Seadra,Cosmos Holo,US/UK,Shrouded Fable - Kingdra ex Special Illustration Collection,
,Prize Pack Cards,SFA002,Galvantula,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,SFA019,Dusclops,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; two checkbox marks extracted
,Prize Pack Cards,SFA020,Dusknoir,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; two checkbox marks extracted
,Prize Pack Cards,SFA038,Fezandipiti ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,SFA057,Colress's Tenacity,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; two checkbox marks extracted
,Prize Pack Cards,SFA061,Night Stretcher,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; two checkbox marks extracted
,Prize Pack Cards,SFA063,Powerglass,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; two checkbox marks extracted
