Owned,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,Stamped Cards,SSP047,Cryogonal,Cosmos Holo Snowflake Stamp,US/UK,Black Bolt & White Flare - Holiday Calendar 2025,
,Stamped Cards,SSP076,Latias ex,Surging Sparks Stamp,US/UK,Black Bolt & White Flare - Lugia ex & Latias ex Premium Collection,Target exclusive
,Stamped Cards,SSP161,Terapagos,Best Buy Stamp,US/Australia/Canada,Surging Sparks - Retailer Gift With Purchase,Distributed with Fuecoco at Best Buy or JB Hi-Fi or Toys R Us
,Stamped Cards,SSP161,Terapagos,GameStop Stamp,US/Canada/Australia,Surging Sparks - Retailer Gift With Purchase,Distributed with Sprigatito at GameStop or EB Games
,Stamped Cards,SVP151,Gouging Fire,Black Star Promo,US/UK,Surging Sparks - Build & Battle Box,One of four possible promo decks
,Stamped Cards,SVP152,Chien-Pao,Black Star Promo,US/UK,Surging Sparks - Build & Battle Box,One of four possible promo decks
,Stamped Cards,SVP153,Magneton,Black Star Promo,US/UK,Surging Sparks - Build & Battle Box,One of four possible promo decks
,Stamped Cards,SVP154,Indeedee,Black Star Promo,US/UK,Surging Sparks - Build & Battle Box,One of four possible promo decks
,Stamped Cards,SVP191,Sprigatito,GameStop Stamp,US/Canada/Australia,Surging Sparks - Retailer Gift With Purchase,Distributed with Terapagos at GameStop or EB Games
,Stamped Cards,SVP192,Fuecoco,Best Buy Stamp,US/Australia/Canada,Surging Sparks - Retailer Gift With Purchase,Distributed with Terapagos at Best Buy or JB Hi-Fi or Toys R Us
,Staff Cards,SVP151,Gouging Fire,Staff Stamp,US/UK,Surging Sparks - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP152,Chien-Pao,Staff Stamp,US/UK,Surging Sparks - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP153,Magneton,Staff Stamp,US/UK,Surging Sparks - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP154,Indeedee,Staff Stamp,US/UK,Surging Sparks - Build & Battle Box,Prerelease staff variant
,Promo Cards,SVP054,Greninja ex,Black Star Promo,US/UK,Surging Sparks - Greninja ex Ultra-Premium Collection,Reprint
,Promo Cards,SVP155,Wooper,Cosmos Holo,US/UK,Surging Sparks - Single Pack Blister,
,Promo Cards,SVP156,Quagsire,Cosmos Holo,US/UK,Surging Sparks - 3-Pack Blister,
,Promo Cards,SVP157,Zapdos,Cosmos Holo,US/UK,Surging Sparks - 3-Pack Blister,
,Promo Cards,SVP158,Pachirisu,Cosmos Holo,US/UK,Surging Sparks - Single Pack Blister,
,Promo Cards,SVP159,Magneton,Black Star Promo,US/UK,Surging Sparks - Elite Trainer Box,
,Promo Cards,SVP159,Magneton,Pokemon Center Stamp,US/UK,Surging Sparks - Pokemon Center ETB,
,Promo Cards,SVP163,Cinderace ex,Black Star Promo,US/UK,Surging Sparks - Terapagos ex Ultra-Premium Collection,
,Promo Cards,SVP164,Lapras ex,Black Star Promo,US/UK,Surging Sparks - Terapagos ex Ultra-Premium Collection,
,Promo Cards,SVP165,Terapagos ex,Black Star Promo,US/UK,Surging Sparks - Terapagos ex Ultra-Premium Collection,
,Promo Cards,SVP166,Teal Mask Ogerpon ex,Black Star Promo,US/UK,Surging Sparks - Ogerpon ex Premium Collection,
,Promo Cards,SVP177,Bloodmoon Ursaluna ex,Black Star Promo,US/UK,Surging Sparks - Bloodmoon Ursaluna ex Box,
,Promo Cards,SVP191,Sprigatito,Black Star Promo,US/UK,Surging Sparks - Grand Adventure Collection,
,Promo Cards,SVP192,Fuecoco,Black Star Promo,US/UK,Surging Sparks - Grand Adventure Collection,
,MCAP Cards,SSP013,Rellor,Non Holo,US/UK,Destined Rivals - Stage 1 Blister,Included with Rabsca blister
,MCAP Cards,SSP014,Rabsca,Cosmos Holo,US/UK,Destined Rivals - Stage 1 Blister,
,MCAP Cards,SSP014,Rabsca,Non Holo,US/UK,Surging Sparks - Build & Battle Box,Deck-exclusive
,MCAP Cards,SSP029,Fuecoco,Non Holo,US/UK,Destined Rivals - Premium Checklane Blister,Included with Skeledirge blister
,MCAP Cards,SSP030,Crocalor,Non Holo,US/UK,Destined Rivals - Premium Checklane Blister,Included with Skeledirge blister
,MCAP Cards,SSP031,Skeledirge,Cosmos Holo,US/UK,Destined Rivals - Premium Checklane Blister,
,MCAP Cards,SSP038,Gouging Fire,Non Holo,US/UK,Surging Sparks - Build & Battle Box,Deck-exclusive
