Owned,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,MCAP Cards,SVE009,Basic Grass Energy,Cracked Ice Holo,US/UK,Surging Sparks - Terapagos ex Ultra-Premium Collection,
,MCAP Cards,SVE010,Basic Fire Energy,Cracked Ice Holo,US/UK,Surging Sparks - Terapagos ex Ultra-Premium Collection,
,MCAP Cards,SVE011,Basic Water Energy,Cracked Ice Holo,US/UK,Surging Sparks - Terapagos ex Ultra-Premium Collection,
,MCAP Cards,SVE012,Basic Lightning Energy,Cracked Ice Holo,US/UK,Surging Sparks - Terapagos ex Ultra-Premium Collection,
,MCAP Cards,SVE013,Basic Psychic Energy,Cracked Ice Holo,US/UK,Surging Sparks - Terapagos ex Ultra-Premium Collection,
,MCAP Cards,SVE014,Basic Fighting Energy,Cracked Ice Holo,US/UK,Surging Sparks - Terapagos ex Ultra-Premium Collection,
,MCAP Cards,SVE015,Basic Darkness Energy,Cracked Ice Holo,US/UK,Surging Sparks - Terapagos ex Ultra-Premium Collection,
,MCAP Cards,SVE016,Basic Metal Energy,Cracked Ice Holo,US/UK,Surging Sparks - Terapagos ex Ultra-Premium Collection,
,Prize Pack Cards,SVE009,Basic Grass Energy,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; two checkbox marks extracted
,Prize Pack Cards,SVE010,Basic Fire Energy,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; two checkbox marks extracted
,Prize Pack Cards,SVE011,Basic Water Energy,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; two checkbox marks extracted
,Prize Pack Cards,SVE012,Basic Lightning Energy,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; two checkbox marks extracted
,Prize Pack Cards,SVE013,Basic Psychic Energy,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; two checkbox marks extracted
,Prize Pack Cards,SVE014,Basic Fighting Energy,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; two checkbox marks extracted
,Prize Pack Cards,SVE015,Basic Darkness Energy,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; two checkbox marks extracted
,Prize Pack Cards,SVE016,Basic Metal Energy,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; two checkbox marks extracted
