Owned,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,Stamped Cards,SVI154,Lechonk,Best Buy Stamp,US,Scarlet & Violet - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,Stamped Cards,SVI154,Lechonk,GameStop Stamp,US/Canada,Scarlet & Violet - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,Stamped Cards,SVP005,Quaquaval,Black Star Promo,US/UK,Scarlet & Violet - Build & Battle Box | Scarlet & Violet - Build & Battle Stadium,One of four possible promo decks | Contains two Build & Battle Boxes
,Stamped Cards,SVP006,Pawmot,Black Star Promo,US/UK,Scarlet & Violet - Build & Battle Box | Scarlet & Violet - Build & Battle Stadium,One of four possible promo decks | Contains two Build & Battle Boxes
,Stamped Cards,SVP007,Hawlucha,Black Star Promo,US/UK,Scarlet & Violet - Build & Battle Box | Scarlet & Violet - Build & Battle Stadium,One of four possible promo decks | Contains two Build & Battle Boxes
,Stamped Cards,SVP008,Revavroom,Black Star Promo,US/UK,Scarlet & Violet - Build & Battle Box | Scarlet & Violet - Build & Battle Stadium,One of four possible promo decks | Contains two Build & Battle Boxes
,Staff Cards,SVP005,Quaquaval,Staff Stamp,US/UK,Scarlet & Violet - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP006,Pawmot,Staff Stamp,US/UK,Scarlet & Violet - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP007,Hawlucha,Staff Stamp,US/UK,Scarlet & Violet - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP008,Revavroom,Staff Stamp,US/UK,Scarlet & Violet - Build & Battle Box,Prerelease staff variant
,Promo Cards,SVP001,Sprigatito,Black Star Promo,US/UK,Scarlet & Violet - Sprigatito Collection,English exclusive promo
,Promo Cards,SVP002,Fuecoco,Black Star Promo,US/UK,Scarlet & Violet - Fuecoco Collection,English exclusive promo
,Promo Cards,SVP003,Quaxly,Black Star Promo,US/UK,Scarlet & Violet - Quaxly Collection,English exclusive promo
