Owned,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,Promo Cards,SVP208,Victini,Black Star Promo,US/UK,Black Bolt & White Flare - Unova Victini Illustration Collection,
,Promo Cards,SVP209,Thundurus,Black Star Promo,US/UK,Black Bolt & White Flare - Black Bolt Elite Trainer Box,
,Promo Cards,SVP209,Thundurus,Pokemon Center Stamp,US/UK,Black Bolt & White Flare - Black Bolt Pokemon Center ETB,
,Promo Cards,SVP210,Tornadus,Black Star Promo,US/UK,Black Bolt & White Flare - White Flare Elite Trainer Box,
,Promo Cards,SVP210,Tornadus,Pokemon Center Stamp,US/UK,Black Bolt & White Flare - White Flare Pokemon Center ETB,
,Promo Cards,SVP211,Gothitelle,Black Star Promo,US/UK,Black Bolt & White Flare - White Flare Tech Sticker Collection,
,Promo Cards,SVP212,Reuniclus,Black Star Promo,US/UK,Black Bolt & White Flare - Black Bolt Tech Sticker Collection,
,Promo Cards,SVP216,Team Rocket's Mewtwo,Black Star Promo,US/UK,Black Bolt & White Flare - Team Rocket Tin,
,Promo Cards,SVP217,Team Rocket's Nidoking,Black Star Promo,US/UK,Black Bolt & White Flare - Team Rocket Tin,
,Promo Cards,SVP218,Team Rocket's Persian,Black Star Promo,US/UK,Black Bolt & White Flare - Team Rocket Tin,
,Promo Cards,SVP219,Black Belt's Training,Black Star Promo,US/UK,Mega Evolution - Trainer's Toolkit 2025,SVP promo in Mega-era product
,Promo Cards,SVP220,Black Belt's Training,Black Star Promo,US/UK,Mega Evolution - Trainer's Toolkit 2025,SVP promo in Mega-era product
,Promo Cards,SVP221,Professor's Research [Professor Birch],Black Star Promo,US/UK,Mega Evolution - Trainer's Toolkit 2025,SVP promo in Mega-era product
,Promo Cards,SVP222,Professor's Research [Professor Kukui],Black Star Promo,US/UK,Mega Evolution - Trainer's Toolkit 2025,SVP promo in Mega-era product
,Promo Cards,SVP223,Professor's Research [Professor Magnolia],Black Star Promo,US/UK,Mega Evolution - Trainer's Toolkit 2025,SVP promo in Mega-era product
