Owned,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,Stamped Cards,SVP089,Feraligatr,Black Star Promo,US/UK,Temporal Forces - Build & Battle Box,One of four possible promo decks
,Stamped Cards,SVP090,Metang,Black Star Promo,US/UK,Temporal Forces - Build & Battle Box,One of four possible promo decks
,Stamped Cards,SVP091,Koraidon,Black Star Promo,US/UK,Temporal Forces - Build & Battle Box,One of four possible promo decks
,Stamped Cards,SVP092,Miraidon,Black Star Promo,US/UK,Temporal Forces - Build & Battle Box,One of four possible promo decks
,Stamped Cards,TEF051,Pikachu,2026 Pokemon Day Stamp,US/UK,Mega Evolution - Pokemon Day 2026 Collection,Temporal Forces reprint in Mega-era product | Temporal Forces reprint
,Stamped Cards,TEF119,Koraidon,GameStop Stamp,US,Temporal Forces - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,Stamped Cards,TEF121,Miraidon,Best Buy Stamp,US,Temporal Forces - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,Stamped Cards,TEF123,Raging Bolt,Best Buy Stamp,US,Stellar Crown - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,Staff Cards,SVP089,Feraligatr,Staff Stamp,US/UK,Temporal Forces - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP090,Metang,Staff Stamp,US/UK,Temporal Forces - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP091,Koraidon,Staff Stamp,US/UK,Temporal Forces - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP092,Miraidon,Staff Stamp,US/UK,Temporal Forces - Build & Battle Box,Prerelease staff variant
,Promo Cards,SVP093,Carvanha,Cosmos Holo,US/UK,Temporal Forces - Single Pack Blister,
,Promo Cards,SVP094,Bellibolt,Cosmos Holo,US/UK,Temporal Forces - Single Pack Blister,
,Promo Cards,SVP095,Cleffa,Cosmos Holo,US/UK,Temporal Forces - 3-Pack Blister,
,Promo Cards,SVP096,Cyclizar,Cosmos Holo,US/UK,Temporal Forces - 3-Pack Blister,
,Promo Cards,SVP097,Flutter Mane,Black Star Promo,US/UK,Temporal Forces - Elite Trainer Box,Walking Wake box
,Promo Cards,SVP097,Flutter Mane,Pokemon Center Stamp,US/UK,Temporal Forces - Pokemon Center ETB,Walking Wake box
,Promo Cards,SVP098,Iron Thorns,Black Star Promo,US/UK,Temporal Forces - Elite Trainer Box,Iron Leaves box
,Promo Cards,SVP098,Iron Thorns,Pokemon Center Stamp,US/UK,Temporal Forces - Pokemon Center ETB,Iron Leaves box
,Promo Cards,SVP099,Shroodle,Cosmos Holo,US/UK,Temporal Forces - Grafaiai ex Box,
,Promo Cards,SVP100,Grafaiai ex,Black Star Promo,US/UK,Temporal Forces - Grafaiai ex Box,
,Promo Cards,SVP103,Houndoom ex,Black Star Promo,US/UK,Temporal Forces - Houndoom ex Battle Deck,
,Promo Cards,SVP104,Melmetal ex,Black Star Promo,US/UK,Temporal Forces - Melmetal ex Battle Deck,
,Promo Cards,SVP124,Iono,Black Star Promo,US/UK,Temporal Forces - Iono Premium Tournament Collection,Full Art print
,Promo Cards,SVP125,Armarouge ex,Black Star Promo,US/UK,Temporal Forces - Armarouge ex Premium Collection,Alternate artwork
,MCAP Cards,TEF025,Iron Leaves ex,Holo,US/UK,Stellar Crown - Paradox Wisdom Premium Collection,Best Buy exclusive
,MCAP Cards,TEF038,Gouging Fire ex,Holo,US/UK,Stellar Crown - Paradox Fury Premium Collection,Amazon exclusive
,MCAP Cards,TEF041,Feraligatr,Non Holo,US/UK,Temporal Forces - Build & Battle Box,Deck-exclusive
,MCAP Cards,TEF050,Walking Wake ex,Holo,US/UK,Stellar Crown - Paradox Fury Premium Collection,Amazon exclusive
,MCAP Cards,TEF051,Pikachu,Cosmos Holo,US/UK,Surging Sparks - Fall 2024 Collector Chest,
,MCAP Cards,TEF061,Iron Hands,Non Holo,US/UK,Stellar Crown - Premium Checklane Blister,Included with Iron Thorns blister
,MCAP Cards,TEF062,Iron Thorns,Cosmos Holo,US/UK,Stellar Crown - Premium Checklane Blister,
,MCAP Cards,TEF062,Iron Thorns,Non Holo,US/UK,Temporal Forces - Build & Battle Box,Deck-exclusive
,MCAP Cards,TEF077,Scream Tail,Cosmos Holo,US/UK,Twilight Masquerade - Collector Chest (Back-to-School 2024),
,MCAP Cards,TEF078,Flutter Mane,Non Holo,US/UK,Temporal Forces - Build & Battle Box,Deck-exclusive
,MCAP Cards,TEF079,Iron Valiant,Cosmos Holo,US/UK,Twilight Masquerade - Collector Chest (Back-to-School 2024),
,MCAP Cards,TEF079,Iron Valiant,Non Holo,US/UK,Stellar Crown - Premium Checklane Blister,Included with Iron Thorns blister
,MCAP Cards,TEF079,Scream Tail,Non Holo,US/UK,Stellar Crown - Premium Checklane Blister,Included with Roaring Moon blister
,MCAP Cards,TEF081,Iron Crown ex,Holo,US/UK,Stellar Crown - Paradox Wisdom Premium Collection,Best Buy exclusive
,MCAP Cards,TEF089,Relicanth,Non Holo,US/UK,Temporal Forces - Build & Battle Box,Deck-exclusive
,MCAP Cards,TEF097,Great Tusk,Non Holo,US/UK,Stellar Crown - Stage 1 Blister,Included with Koraidon blister
,MCAP Cards,TEF098,Sandy Shocks,Non Holo,US/UK,Stellar Crown - Stage 1 Blister,Included with Koraidon blister
,MCAP Cards,TEF099,Iron Boulder ex,Holo,US/UK,Stellar Crown - Paradox Wisdom Premium Collection,Best Buy exclusive
,MCAP Cards,TEF109,Roaring Moon,Cosmos Holo,US/UK,Stellar Crown - Premium Checklane Blister,
,MCAP Cards,TEF111,Scizor ex,Holo,US/UK,Surging Sparks - Meddling Sparks Premium Collection,Target exclusive
,MCAP Cards,TEF118,Iron Treads,Non Holo,US/UK,Stellar Crown - Stage 1 Blister,Included with Miraidon blister
,MCAP Cards,TEF119,Koraidon,Cosmos Holo,US/UK,Stellar Crown - Stage 1 Blister,
,MCAP Cards,TEF119,Koraidon,Non Holo,US/UK,Temporal Forces - Build & Battle Box | Shrouded Fable - Koraidon & Miraidon ex Deluxe Battle Decks,Deck-exclusive | Rereleased promotional card; exact deck mapping to verify
,MCAP Cards,TEF121,Miraidon,Cosmos Holo,US/UK,Stellar Crown - Stage 1 Blister,
,MCAP Cards,TEF121,Miraidon,Non Holo,US/UK,Temporal Forces - Build & Battle Box | Shrouded Fable - Koraidon & Miraidon ex Deluxe Battle Decks,Deck-exclusive | Rereleased promotional card; exact deck mapping to verify
,MCAP Cards,TEF123,Raging Bolt ex,Holo,US/UK,Stellar Crown - Paradox Fury Premium Collection,Amazon exclusive
,MCAP Cards,TEF126,Hoothoot,Cosmos Holo,US/UK,Surging Sparks - Bloodmoon Ursaluna ex Box,
,MCAP Cards,TEF127,Noctowl,Cosmos Holo,US/UK,Surging Sparks - Bloodmoon Ursaluna ex Box,
,Prize Pack Cards,TEF024,Rabsca,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,TEF085,Drilbur,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,TEF114,Metang,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,TEF129,Dudunsparce,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,TEF142,Bianca's Devotion,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,TEF144,Buddy-Buddy Poffin,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; two checkbox marks extracted
,Prize Pack Cards,TEF157,Prime Catcher,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Other Cards,TEF104,Gengar ex,Holo,US/UK,Shrouded Fable - Dark Powers ex Special Collection,
