Owned,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,Stamped Cards,SVP115,Thwackey,Black Star Promo,US/UK,Twilight Masquerade - Build & Battle Box,One of five possible promo decks
,Stamped Cards,SVP116,Infernape,Black Star Promo,US/UK,Twilight Masquerade - Build & Battle Box,One of five possible promo decks
,Stamped Cards,SVP117,Froslass,Black Star Promo,US/UK,Twilight Masquerade - Build & Battle Box,One of five possible promo decks
,Stamped Cards,SVP118,Tatsugiri,Black Star Promo,US/UK,Twilight Masquerade - Build & Battle Box,One of five possible promo decks
,Stamped Cards,TWM022,Sinistcha,Best Buy Stamp,US,Twilight Masquerade - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,Stamped Cards,TWM024,Teal Mask Ogerpon,EB Games Stamp,Australia/New Zealand,Twilight Masquerade - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,Stamped Cards,TWM024,Teal Mask Ogerpon,GameStop Stamp,Canada,Twilight Masquerade - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,Stamped Cards,TWM040,Hearthflame Mask Ogerpon ex,Expansion Logo Stamp,US/UK,Destined Rivals - Masks of Ogerpon Premium Collection,Delayed until July 2025
,Stamped Cards,TWM062,Iron Bundle,Cosmos Holo Snowflake Stamp,US/UK,Shrouded Fable - Holiday Calendar 2024,
,Stamped Cards,TWM064,Wellspring Mask Ogerpon ex,Expansion Logo Stamp,US/UK,Destined Rivals - Masks of Ogerpon Premium Collection,Delayed until July 2025
,Staff Cards,SVP115,Thwackey,Staff Stamp,US/UK,Twilight Masquerade - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP116,Infernape,Staff Stamp,US/UK,Twilight Masquerade - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP117,Froslass,Staff Stamp,US/UK,Twilight Masquerade - Build & Battle Box,Prerelease staff variant
,Staff Cards,SVP118,Tatsugiri,Staff Stamp,US/UK,Twilight Masquerade - Build & Battle Box,Prerelease staff variant
,Promo Cards,SVP105,Armarouge ex,Black Star Promo,US/UK,Twilight Masquerade - Battle Academy 2024,
,Promo Cards,SVP106,Pikachu ex,Black Star Promo,US/UK,Twilight Masquerade - Battle Academy 2024,
,Promo Cards,SVP107,Mareep,Black Star Promo,US/UK,Twilight Masquerade - Battle Academy 2024,
,Promo Cards,SVP108,Flaaffy,Black Star Promo,US/UK,Twilight Masquerade - Battle Academy 2024,
,Promo Cards,SVP109,Ampharos,Black Star Promo,US/UK,Twilight Masquerade - Battle Academy 2024,
,Promo Cards,SVP110,Darkrai ex,Black Star Promo,US/UK,Twilight Masquerade - Battle Academy 2024,
,Promo Cards,SVP111,Pawniard,Black Star Promo,US/UK,Twilight Masquerade - Battle Academy 2024,
,Promo Cards,SVP112,Bisharp,Black Star Promo,US/UK,Twilight Masquerade - Battle Academy 2024,
,Promo Cards,SVP113,Kingambit,Black Star Promo,US/UK,Twilight Masquerade - Battle Academy 2024,
,Promo Cards,SVP114,Picnicker,Black Star Promo,US/UK,Twilight Masquerade - Battle Academy 2024,
,Promo Cards,SVP114,Picnicker,Non Holo,US/UK,Twilight Masquerade - Build & Battle Box,One of five possible promo decks
,Promo Cards,SVP119,Toxel,Cosmos Holo,US/UK,Twilight Masquerade - Single Pack Blister,
,Promo Cards,SVP120,Pupitar,Cosmos Holo,US/UK,Twilight Masquerade - Single Pack Blister,
,Promo Cards,SVP121,Revavroom,Cosmos Holo,US/UK,Twilight Masquerade - 3-Pack Blister,
,Promo Cards,SVP122,Snorlax,Cosmos Holo,US/UK,Twilight Masquerade - 3-Pack Blister,
,Promo Cards,SVP123,Teal Mask Ogerpon,Black Star Promo,US/UK,Twilight Masquerade - Elite Trainer Box,
,Promo Cards,SVP123,Teal Mask Ogerpon,Pokemon Center Stamp,US/UK,Twilight Masquerade - Pokemon Center ETB,
,Promo Cards,SVP126,Palafin ex,Black Star Promo,US/UK,Twilight Masquerade - Palafin ex Box,
,Promo Cards,SVP127,Walking Wake ex,Black Star Promo,US/UK,Twilight Masquerade - Paradox Clash Tin,Available in hexagonal and octagonal tin designs
,Promo Cards,SVP128,Iron Leaves ex,Black Star Promo,US/UK,Twilight Masquerade - Paradox Clash Tin,Available in hexagonal and octagonal tin designs
,Promo Cards,SVP142,Victini ex,Black Star Promo,US/UK,Twilight Masquerade - Victini ex Battle Deck,
,Promo Cards,SVP143,Miraidon ex,Black Star Promo,US/UK,Twilight Masquerade - Miraidon ex Battle Deck,
,Promo Cards,SVP148,Miraidon,Black Star Promo,US/UK,Twilight Masquerade - Battle Academy 2024,
,MCAP Cards,TWM018,Dipplin,Cosmos Holo,US/UK,Surging Sparks - Fall 2024 Collector Chest,
,MCAP Cards,TWM020,Poltchageist,Non Holo,US/UK,Surging Sparks - Stage 1 Blister,Included with Sinistcha blister
,MCAP Cards,TWM022,Sinistcha,Cosmos Holo,US/UK,Surging Sparks - Stage 1 Blister,
,MCAP Cards,TWM024,Teal Mask Ogerpon,Cosmos Holo,US/UK,Surging Sparks - Ogerpon ex Premium Collection | Surging Sparks - Fall 2024 Collector Chest,
,MCAP Cards,TWM033,Infernape,Non Holo,US/UK,Twilight Masquerade - Build & Battle Box,Deck-exclusive
,MCAP Cards,TWM036,Litwick,Non Holo,US/UK,Surging Sparks - Premium Checklane Blister,Included with Chandelure blister
,MCAP Cards,TWM037,Lampent,Non Holo,US/UK,Surging Sparks - Premium Checklane Blister,Included with Chandelure blister
,MCAP Cards,TWM038,Chandelure,Cosmos Holo,US/UK,Surging Sparks - Premium Checklane Blister,
,MCAP Cards,TWM053,Froslass,Non Holo,US/UK,Twilight Masquerade - Build & Battle Box,Deck-exclusive
,MCAP Cards,TWM059,Finizen,Cosmos Holo,US/UK,Twilight Masquerade - Palafin ex Box,
,MCAP Cards,TWM060,Palafin,Cosmos Holo,US/UK,Twilight Masquerade - Palafin ex Box,
,MCAP Cards,TWM068,Luxray ex,Holo,US/UK,Surging Sparks - Meddling Sparks Premium Collection,Target exclusive
,MCAP Cards,TWM080,Abra,Non Holo,US/UK,Surging Sparks - Premium Checklane Blister,Included with Alakazam blister
,MCAP Cards,TWM081,Kadabra,Non Holo,US/UK,Surging Sparks - Premium Checklane Blister,Included with Alakazam blister
,MCAP Cards,TWM082,Alakazam,Cosmos Holo,US/UK,Surging Sparks - Premium Checklane Blister | Surging Sparks - Scarlet & Violet Knock Out Collection: Alakazam & Chien-Pao,
,MCAP Cards,TWM095,Munkidori,Non Holo,US/UK,Twilight Masquerade - Build & Battle Box,Deck-exclusive
,MCAP Cards,TWM096,Fezandipiti,Non Holo,US/UK,Twilight Masquerade - Build & Battle Box,Deck-exclusive
,MCAP Cards,TWM099,Hisuian Growlithe,Non Holo,US/UK,Surging Sparks - Stage 1 Blister,Included with Hisuian Arcanine blister
,MCAP Cards,TWM100,Hisuian Arcanine,Cosmos Holo,US/UK,Surging Sparks - Stage 1 Blister,
,MCAP Cards,TWM106,Greninja ex,Holo,US/UK,Surging Sparks - Greninja ex Ultra-Premium Collection,Reprint
,MCAP Cards,TWM106,Greninja ex,Metal Card,US/UK,Surging Sparks - Greninja ex Ultra-Premium Collection,
,MCAP Cards,TWM111,Okidogi,Non Holo,US/UK,Twilight Masquerade - Build & Battle Box,Deck-exclusive
,MCAP Cards,TWM159,Ogre's Mask,Cosmos Holo,US/UK,Surging Sparks - Ogerpon ex Premium Collection,
,Prize Pack Cards,TWM025,Teal Mask Ogerpon ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,TWM053,Froslass,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,TWM077,Iron Thorns ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,TWM095,Munkidori,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,TWM105,Conkeldurr,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,TWM106,Greninja ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,TWM131,Tatsugiri,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,TWM134,Blissey ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,TWM141,Bloodmoon Ursaluna ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,TWM143,Bug Catching Set,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,TWM145,Carmine,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,TWM148,Enhanced Hammer,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,TWM153,Jamming Tower,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
