Generated Set Code,Printed Set Code,Category,Card Name,Card Number,Variant,Region,Override Set Code,Override Category,Exclude,Review Notes,Release Set,Product,Source Rows
BLK,BLK,Stamped Cards,Victini,BLK012,Black Bolt Stamp,US/UK,,,,,,Black Bolt & White Flare - Unova Heavy Hitters Premium Collection,placeholders.csv:730
BLK,BLK,Stamped Cards,Zekrom ex,BLK034,Black Bolt Stamp,US/UK,,,,,,Black Bolt & White Flare - Unova Heavy Hitters Premium Collection,placeholders.csv:731
DRI,DRI,Stamped Cards,Team Rocket's Moltres ex,DRI031,Expansion Logo Stamp,US/UK,,,,,,Black Bolt & White Flare - Team Rocket's Moltres ex Ultra-Premium Collection,placeholders.csv:727
DRI,DRI,Stamped Cards,Ethan's Typhlosion,DRI034,Cosmos Holo Expansion Logo Stamp,US/UK,,,,,,Destined Rivals - Build & Battle Box,placeholders.csv:655
DRI,DRI,Stamped Cards,Misty's Gyarados,DRI049,Cosmos Holo Expansion Logo Stamp,US/UK,,,,,,Destined Rivals - Build & Battle Box,placeholders.csv:657
DRI,DRI,Stamped Cards,Team Rocket's Articuno,DRI051,Best Buy Stamp,US,,,,,,Destined Rivals - Retailer Gift With Purchase,placeholders.csv:782
DRI,DRI,Stamped Cards,Team Rocket's Zapdos,DRI070,EB Games Stamp,Australia/New Zealand,,,,,,Destined Rivals - Retailer Gift With Purchase,placeholders.csv:781
DRI,DRI,Stamped Cards,Team Rocket's Zapdos,DRI070,GameStop Stamp,US/Canada,,,,,,Destined Rivals - Retailer Gift With Purchase,placeholders.csv:780
DRI,DRI,Stamped Cards,Team Rocket's Mimikyu,DRI087,Cosmos Holo Expansion Logo Stamp,US/UK,,,,,,Destined Rivals - Build & Battle Box,placeholders.csv:659
DRI,DRI,Stamped Cards,Team Rocket's Tyranitar,DRI096,Cosmos Holo Expansion Logo Stamp,US/UK,,,,,,Destined Rivals - Build & Battle Box,placeholders.csv:661
DRI,DRI,Stamped Cards,Team Rocket's Moltres ex,DRI208,Expansion Logo Stamp,US/UK,,,,,,Black Bolt & White Flare - Team Rocket's Moltres ex Ultra-Premium Collection,placeholders.csv:728
DRI,DRI,Stamped Cards,Team Rocket's Moltres ex,DRI229,Expansion Logo Stamp,US/UK,,,,,,Black Bolt & White Flare - Team Rocket's Moltres ex Ultra-Premium Collection,placeholders.csv:729
JTG,JTG,Stamped Cards,Articuno,JTG032,Cosmos Holo Snowflake Stamp,US/UK,,,,,,Black Bolt & White Flare - Holiday Calendar 2025,placeholders.csv:714
JTG,JTG,Stamped Cards,Mimikyu ex,JTG069,Journey Together Stamp,US/UK,,,,,,Black Bolt & White Flare - Mimikyu ex & Alcremie ex Premium Collection,placeholders.csv:725
JTG,JTG,Stamped Cards,Alcremie ex,JTG075,Journey Together Stamp,US/UK,,,,,,Black Bolt & White Flare - Mimikyu ex & Alcremie ex Premium Collection,placeholders.csv:726
JTG,JTG,Stamped Cards,Hop's Snorlax,JTG117,EB Games Stamp,Australia,,,,,,Journey Together - Retailer Gift With Purchase,placeholders.csv:779
JTG,JTG,Stamped Cards,Hop's Snorlax,JTG117,GameStop Stamp,US/Canada,,,,,,Journey Together - Retailer Gift With Purchase,placeholders.csv:778
JTG,JTG,Stamped Cards,Hop's Dubwool,JTG136,Best Buy Stamp,US,,,,,,Journey Together - Retailer Gift With Purchase,placeholders.csv:777
JTG,JTG,Stamped Cards,N's Reshiram,JTG167,Expansion Logo Stamp,US/UK,,,,,,Journey Together - Enhanced Booster Display Box,placeholders.csv:640
MEG,MEG,Stamped Cards,Xerneas,MEG064,Mega Evolution Stamp,US/Australia/New Zealand,,,,,,Mega Evolution - Retailer Gift With Purchase,mega_placeholders.csv:180
MEG,MEG,Stamped Cards,Bulbasaur,MEG133,Mega Evolution Stamp,US/UK,,,,,,Mega Evolution - Mega Evolution Booster Display Boxes,mega_placeholders.csv:23
MEP,MEP,Stamped Cards,Meganium,MEP001,Black Star Promo,US/UK,,,,,,Mega Evolution - Mega Evolution Build & Battle Box,mega_placeholders.csv:2
MEP,MEP,Stamped Cards,Inteleon,MEP002,Black Star Promo,US/UK,,,,,,Mega Evolution - Mega Evolution Build & Battle Box,mega_placeholders.csv:3
MEP,MEP,Stamped Cards,Alakazam,MEP003,Black Star Promo,US/UK,,,,,,Mega Evolution - Mega Evolution Build & Battle Box,mega_placeholders.csv:4
MEP,MEP,Stamped Cards,Lunatone,MEP004,Black Star Promo,US/UK,,,,,,Mega Evolution - Mega Evolution Build & Battle Box,mega_placeholders.csv:5
MEP,MEP,Stamped Cards,Ceruledge,MEP014,Black Star Promo,US/UK,,,,,,Phantasmal Flames - Phantasmal Flames Build & Battle Box,mega_placeholders.csv:38
