Owned,Set Code,Set,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,BLK,Black Bolt,Stamped Cards,BLK012,Victini,Black Bolt Stamp,US/UK,Black Bolt & White Flare - Unova Heavy Hitters Premium Collection,Costco exclusive
,BLK,Black Bolt,Stamped Cards,BLK034,Zekrom ex,Black Bolt Stamp,US/UK,Black Bolt & White Flare - Unova Heavy Hitters Premium Collection,Costco exclusive
,BLK,Black Bolt,MCAP Cards,BLK001,Snivy,Set Holo,US/UK,Black Bolt & White Flare - Unova Poster Collection,Black Bolt holo pattern
,BLK,Black Bolt,MCAP Cards,BLK012,Victini,Poke Ball Parallel Holo,US/UK,Black Bolt & White Flare - Unova Victini Illustration Collection,
,BLK,Black Bolt,Prize Pack Cards,BLK028,Kyurem ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,BLK,Black Bolt,Prize Pack Cards,BLK031,Eelektrik,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,BLK,Black Bolt,Prize Pack Cards,BLK034,Zekrom ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,BLK,Black Bolt,Prize Pack Cards,BLK049,Conkeldurr,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,BLK,Black Bolt,Prize Pack Cards,BLK067,Genesect ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,BLK,Black Bolt,Prize Pack Cards,BLK079,Air Balloon,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,DRI,Destined Rivals,Stamped Cards,DRI031,Team Rocket's Moltres ex,Expansion Logo Stamp,US/UK,Black Bolt & White Flare - Team Rocket's Moltres ex Ultra-Premium Collection,
,DRI,Destined Rivals,Stamped Cards,DRI034,Ethan's Typhlosion,Cosmos Holo Expansion Logo Stamp,US/UK,Destined Rivals - Build & Battle Box,One of four possible promo decks
,DRI,Destined Rivals,Stamped Cards,DRI049,Misty's Gyarados,Cosmos Holo Expansion Logo Stamp,US/UK,Destined Rivals - Build & Battle Box,One of four possible promo decks
,DRI,Destined Rivals,Stamped Cards,DRI051,Team Rocket's Articuno,Best Buy Stamp,US,Destined Rivals - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,DRI,Destined Rivals,Stamped Cards,DRI070,Team Rocket's Zapdos,EB Games Stamp,Australia/New Zealand,Destined Rivals - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,DRI,Destined Rivals,Stamped Cards,DRI070,Team Rocket's Zapdos,GameStop Stamp,US/Canada,Destined Rivals - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,DRI,Destined Rivals,Stamped Cards,DRI087,Team Rocket's Mimikyu,Cosmos Holo Expansion Logo Stamp,US/UK,Destined Rivals - Build & Battle Box,One of four possible promo decks
,DRI,Destined Rivals,Stamped Cards,DRI096,Team Rocket's Tyranitar,Cosmos Holo Expansion Logo Stamp,US/UK,Destined Rivals - Build & Battle Box,One of four possible promo decks
,DRI,Destined Rivals,Stamped Cards,DRI208,Team Rocket's Moltres ex,Expansion Logo Stamp,US/UK,Black Bolt & White Flare - Team Rocket's Moltres ex Ultra-Premium Collection,
,DRI,Destined Rivals,Stamped Cards,DRI229,Team Rocket's Moltres ex,Expansion Logo Stamp,US/UK,Black Bolt & White Flare - Team Rocket's Moltres ex Ultra-Premium Collection,
,DRI,Destined Rivals,Staff Cards,DRI034,Ethan's Typhlosion,Staff Stamp,US/UK,Destined Rivals - Build & Battle Box,Prerelease staff variant
,DRI,Destined Rivals,Staff Cards,DRI049,Misty's Gyarados,Staff Stamp,US/UK,Destined Rivals - Build & Battle Box,Prerelease staff variant
,DRI,Destined Rivals,Staff Cards,DRI087,Team Rocket's Mimikyu,Staff Stamp,US/UK,Destined Rivals - Build & Battle Box,Prerelease staff variant
,DRI,Destined Rivals,Staff Cards,DRI096,Team Rocket's Tyranitar,Staff Stamp,US/UK,Destined Rivals - Build & Battle Box,Prerelease staff variant
,DRI,Destined Rivals,Promo Cards,SVP196,Charizard ex,Black Star Promo,US/UK,Destined Rivals - Charizard ex Special Collection,
,DRI,Destined Rivals,Promo Cards,SVP199,Zarude,Cosmos Holo,US/UK,Destined Rivals - Single Pack Blister,
,DRI,Destined Rivals,Promo Cards,SVP200,Eevee,Cosmos Holo,US/UK,Destined Rivals - Single Pack Blister,
,DRI,Destined Rivals,Promo Cards,SVP201,Zebstrika,Cosmos Holo,US/UK,Destined Rivals - 3-Pack Blister,
,DRI,Destined Rivals,Promo Cards,SVP202,Kangaskhan,Cosmos Holo,US/UK,Destined Rivals - 3-Pack Blister,
,DRI,Destined Rivals,Promo Cards,SVP203,Team Rocket's Wobbuffet,Black Star Promo,US/UK,Destined Rivals - Elite Trainer Box,
,DRI,Destined Rivals,Promo Cards,SVP203,Team Rocket's Wobbuffet,Pokemon Center Stamp,US/UK,Destined Rivals - Pokemon Center ETB,
,DRI,Destined Rivals,Promo Cards,SVP204,Cynthia's Garchomp ex,Black Star Promo,US/UK,Destined Rivals - Cynthia's Garchomp ex Premium Collection,
,DRI,Destined Rivals,Promo Cards,SVP205,Team Rocket's Mewtwo ex,Black Star Promo,US/UK,Destined Rivals - Team Rocket's Mewtwo ex Box,
,DRI,Destined Rivals,MCAP Cards,DRI018,Hydrapple,Pixel Cosmos Holo,US/UK,Phantasmal Flames - Phantasmal Flames Blisters,Destined Rivals reprint in Mega-era product | Destined Rivals reprint
,DRI,Destined Rivals,MCAP Cards,DRI034,Ethan's Typhlosion,Non Holo,US/UK,Destined Rivals - Build & Battle Box,Deck-exclusive
,DRI,Destined Rivals,MCAP Cards,DRI042,Blaziken,Pixel Cosmos Holo,US/UK,Phantasmal Flames - Phantasmal Flames Blisters,Destined Rivals reprint in Mega-era product | Destined Rivals reprint
,DRI,Destined Rivals,MCAP Cards,DRI049,Misty's Gyarados,Non Holo,US/UK,Destined Rivals - Build & Battle Box,Deck-exclusive
,DRI,Destined Rivals,MCAP Cards,DRI051,Team Rocket's Articuno,Cosmos Holo,US/UK,Black Bolt & White Flare - Enhanced 2-Pack Blister,Team Rocket's Articuno Zapdos and Tyranitar blister
,DRI,Destined Rivals,MCAP Cards,DRI070,Team Rocket's Zapdos,Cosmos Holo,US/UK,Black Bolt & White Flare - Enhanced 2-Pack Blister,Team Rocket's Articuno Zapdos and Tyranitar blister
,DRI,Destined Rivals,MCAP Cards,DRI087,Team Rocket's Mimikyu,Non Holo,US/UK,Destined Rivals - Build & Battle Box,Deck-exclusive
,DRI,Destined Rivals,MCAP Cards,DRI096,Team Rocket's Tyranitar,Cosmos Holo,US/UK,Black Bolt & White Flare - Enhanced 2-Pack Blister,Team Rocket's Articuno Zapdos and Tyranitar blister
,DRI,Destined Rivals,MCAP Cards,DRI096,Team Rocket's Tyranitar,Non Holo,US/UK,Destined Rivals - Build & Battle Box,Deck-exclusive
,DRI,Destined Rivals,MCAP Cards,DRI102,Cynthia's Gible,Cosmos Holo,US/UK,Destined Rivals - Cynthia's Garchomp ex Premium Collection,
,DRI,Destined Rivals,MCAP Cards,DRI103,Cynthia's Gabite,Cosmos Holo,US/UK,Destined Rivals - Cynthia's Garchomp ex Premium Collection,
,DRI,Destined Rivals,MCAP Cards,DRI149,Team Rocket's Meowth,Cosmos Holo,US/UK,Destined Rivals - Team Rocket's Mewtwo ex Box,
,DRI,Destined Rivals,MCAP Cards,DRI174,Team Rocket's Giovanni,Cosmos Holo,US/UK,Destined Rivals - Team Rocket's Mewtwo ex Box,
,DRI,Destined Rivals,Prize Pack Cards,DRI003,Yanmega ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,DRI,Destined Rivals,Prize Pack Cards,DRI008,Cynthia's Roserade,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
