Release Set,Release Date,Product,Product Type,Card Name,Card Number,Variant,Region,Notes
Mega Evolution,2025-09-13,Mega Evolution Build & Battle Box,Build & Battle Box,Meganium,MEP001,Black Star Promo,US/UK,Prerelease promo
Mega Evolution,2025-09-13,Mega Evolution Build & Battle Box,Build & Battle Box,Inteleon,MEP002,Black Star Promo,US/UK,Prerelease promo
Mega Evolution,2025-09-13,Mega Evolution Build & Battle Box,Build & Battle Box,Alakazam,MEP003,Black Star Promo,US/UK,Prerelease promo
Mega Evolution,2025-09-13,Mega Evolution Build & Battle Box,Build & Battle Box,Lunatone,MEP004,Black Star Promo,US/UK,Prerelease promo
Mega Evolution,2025-09-13,Mega Evolution Build & Battle Box,Build & Battle Box,Meganium,MEG010,Non Holo,US/UK,
Mega Evolution,2025-09-13,Mega Evolution Build & Battle Box,Build & Battle Box,Xerneas,MEG064,Non Holo,US/UK,
Mega Evolution,2025-09-13,Mega Evolution Build & Battle Box,Build & Battle Box,Hariyama,MEG074,Non Holo,US/UK,
Mega Evolution,2025-09-26,Mega Evolution Blisters,Blister,Drifloon,MEP005,Pixel Cosmos Holo,US/UK,
Mega Evolution,2025-09-26,Mega Evolution Blisters,Blister,Drifblim,MEP006,Pixel Cosmos Holo,US/UK,
Mega Evolution,2025-09-26,Mega Evolution Blisters,Blister,Psyduck,MEP007,Pixel Cosmos Holo,US/UK,
Mega Evolution,2025-09-26,Mega Evolution Blisters,Blister,Golduck,MEP008,Pixel Cosmos Holo,US/UK,
Mega Evolution,2025-09-26,Mega Evolution Blisters,Blister,Sprigatito,JTG016,Standard,US/UK,Journey Together reprint
Mega Evolution,2025-09-26,Mega Evolution Blisters,Blister,Floragato,JTG017,Standard,US/UK,Journey Together reprint
Mega Evolution,2025-09-26,Mega Evolution Blisters,Blister,Meowscarada,JTG018,Cosmos Holo,US/UK,Journey Together reprint
Mega Evolution,2025-09-26,Mega Evolution Blisters,Blister,Wailmer,JTG040,Standard,US/UK,Journey Together reprint
Mega Evolution,2025-09-26,Mega Evolution Blisters,Blister,Wailord,JTG041,Cosmos Holo,US/UK,Journey Together reprint
