Category,Card Name,Card Number,Variant,Region,Purchase Options,Source Rows
Stamped Cards,Victini,BLK012,Black Bolt Stamp,US/UK,Black Bolt & White Flare - Unova Heavy Hitters Premium Collection,placeholders.csv:730
Stamped Cards,Zekrom ex,BLK034,Black Bolt Stamp,US/UK,Black Bolt & White Flare - Unova Heavy Hitters Premium Collection,placeholders.csv:731
Stamped Cards,Team Rocket's Moltres ex,DRI031,Expansion Logo Stamp,US/UK,Black Bolt & White Flare - Team Rocket's Moltres ex Ultra-Premium Collection,placeholders.csv:727
Stamped Cards,Ethan's Typhlosion,DRI034,Cosmos Holo Expansion Logo Stamp,US/UK,Destined Rivals - Build & Battle Box,placeholders.csv:655
Stamped Cards,Misty's Gyarados,DRI049,Cosmos Holo Expansion Logo Stamp,US/UK,Destined Rivals - Build & Battle Box,placeholders.csv:657
Stamped Cards,Team Rocket's Articuno,DRI051,Best Buy Stamp,US,Destined Rivals - Retailer Gift With Purchase,placeholders.csv:782
Stamped Cards,Team Rocket's Zapdos,DRI070,EB Games Stamp,Australia/New Zealand,Destined Rivals - Retailer Gift With Purchase,placeholders.csv:781
Stamped Cards,Team Rocket's Zapdos,DRI070,GameStop Stamp,US/Canada,Destined Rivals - Retailer Gift With Purchase,placeholders.csv:780
Stamped Cards,Team Rocket's Mimikyu,DRI087,Cosmos Holo Expansion Logo Stamp,US/UK,Destined Rivals - Build & Battle Box,placeholders.csv:659
Stamped Cards,Team Rocket's Tyranitar,DRI096,Cosmos Holo Expansion Logo Stamp,US/UK,Destined Rivals - Build & Battle Box,placeholders.csv:661
Stamped Cards,Team Rocket's Moltres ex,DRI208,Expansion Logo Stamp,US/UK,Black Bolt & White Flare - Team Rocket's Moltres ex Ultra-Premium Collection,placeholders.csv:728
Stamped Cards,Team Rocket's Moltres ex,DRI229,Expansion Logo Stamp,US/UK,Black Bolt & White Flare - Team Rocket's Moltres ex Ultra-Premium Collection,placeholders.csv:729
Stamped Cards,Articuno,JTG032,Cosmos Holo Snowflake Stamp,US/UK,Black Bolt & White Flare - Holiday Calendar 2025,placeholders.csv:714
Stamped Cards,Mimikyu ex,JTG069,Journey Together Stamp,US/UK,Black Bolt & White Flare - Mimikyu ex & Alcremie ex Premium Collection,placeholders.csv:725
Stamped Cards,Alcremie ex,JTG075,Journey Together Stamp,US/UK,Black Bolt & White Flare - Mimikyu ex & Alcremie ex Premium Collection,placeholders.csv:726
Stamped Cards,Hop's Snorlax,JTG117,EB Games Stamp,Australia,Journey Together - Retailer Gift With Purchase,placeholders.csv:779
Stamped Cards,Hop's Snorlax,JTG117,GameStop Stamp,US/Canada,Journey Together - Retailer Gift With Purchase,placeholders.csv:778
Stamped Cards,Hop's Dubwool,JTG136,Best Buy Stamp,US,Journey Together - Retailer Gift With Purchase,placeholders.csv:777
Stamped Cards,N's Reshiram,JTG167,Expansion Logo Stamp,US/UK,Journey Together - Enhanced Booster Display Box,placeholders.csv:640
Stamped Cards,Xerneas,MEG064,Mega Evolution Stamp,US/Australia/New Zealand,Mega Evolution - Retailer Gift With Purchase,mega_placeholders.csv:180
Stamped Cards,Bulbasaur,MEG133,Mega Evolution Stamp,US/UK,Mega Evolution - Mega Evolution Booster Display Boxes,mega_placeholders.csv:23
Stamped Cards,Meganium,MEP001,Black Star Promo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,mega_placeholders.csv:2
Stamped Cards,Inteleon,MEP002,Black Star Promo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,mega_placeholders.csv:3
Stamped Cards,Alakazam,MEP003,Black Star Promo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,mega_placeholders.csv:4
Stamped Cards,Lunatone,MEP004,Black Star Promo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,mega_placeholders.csv:5
Stamped Cards,Ceruledge,MEP014,Black Star Promo,US/UK,Phantasmal Flames - Phantasmal Flames Build & Battle Box,mega_placeholders.csv:38
Stamped Cards,Zacian,MEP015,Black Star Promo,US/UK,Phantasmal Flames - Phantasmal Flames Build & Battle Box,mega_placeholders.csv:39
Stamped Cards,Flygon,MEP016,Black Star Promo,US/UK,Phantasmal Flames - Phantasmal Flames Build & Battle Box,mega_placeholders.csv:40
Stamped Cards,Toxtricity,MEP017,Black Star Promo,US/UK,Phantasmal Flames - Phantasmal Flames Build & Battle Box,mega_placeholders.csv:41
Stamped Cards,Serperior,MEP064,Black Star Promo,US/UK,Perfect Order - Perfect Order Build & Battle Box,mega_placeholders.csv:89
Stamped Cards,Barbaracle,MEP065,Black Star Promo,US/UK,Perfect Order - Perfect Order Build & Battle Box,mega_placeholders.csv:90
Stamped Cards,Tyrantrum,MEP066,Black Star Promo,US/UK,Perfect Order - Perfect Order Build & Battle Box,mega_placeholders.csv:91
Stamped Cards,Doublade,MEP067,Black Star Promo,US/UK,Perfect Order - Perfect Order Build & Battle Box,mega_placeholders.csv:92
Stamped Cards,Delphox,MEP074,Black Star Promo,US/UK,Chaos Rising - Chaos Rising Build & Battle Box,mega_placeholders.csv:114
Stamped Cards,Ampharos,MEP075,Black Star Promo,US/UK,Chaos Rising - Chaos Rising Build & Battle Box,mega_placeholders.csv:115
Stamped Cards,Crobat,MEP076,Black Star Promo,US/UK,Chaos Rising - Chaos Rising Build & Battle Box,mega_placeholders.csv:116
Stamped Cards,Goodra,MEP077,Black Star Promo,US/UK,Chaos Rising - Chaos Rising Build & Battle Box,mega_placeholders.csv:117
Stamped Cards,Pikachu,MEW025,Cosmos Holo Snowflake Stamp,US/UK,Black Bolt & White Flare - Holiday Calendar 2025,placeholders.csv:708
Stamped Cards,Eevee,MEW133,Cosmos Holo Snowflake Stamp,US/UK,Black Bolt & White Flare - Holiday Calendar 2025,placeholders.csv:709
Stamped Cards,Eiscue ex,OBF042,Snowflake Stamp,US/UK,Shrouded Fable - Holiday Calendar 2024,placeholders.csv:446
Stamped Cards,Espeon,OBF086,Obsidian Flames Stamp,US,Obsidian Flames - Retailer Gift With Purchase,placeholders.csv:759
Stamped Cards,Umbreon,OBF130,EB Games Stamp,Australia/New Zealand,Obsidian Flames - Retailer Gift With Purchase,placeholders.csv:758
Stamped Cards,Umbreon,OBF130,GameStop Stamp,US/Canada,Obsidian Flames - Retailer Gift With Purchase,placeholders.csv:757
Stamped Cards,Delibird,PAL046,Cosmos Holo Snowflake Stamp,US/UK,Black Bolt & White Flare - Holiday Calendar 2025,placeholders.csv:707
Stamped Cards,Cetoddle,PAL053,Cosmos Holo Snowflake Stamp,US/UK,Shrouded Fable - Holiday Calendar 2024,placeholders.csv:442
Stamped Cards,Frigibax,PAL058,Cosmos Holo Snowflake Stamp,US/UK,Shrouded Fable - Holiday Calendar 2024,placeholders.csv:443
Stamped Cards,Chien-Pao ex,PAL061,Snowflake Stamp,US/UK,Shrouded Fable - Holiday Calendar 2024,placeholders.csv:444
Stamped Cards,Pikachu ex,PAL063,Snowflake Stamp,US/UK,Shrouded Fable - Holiday Calendar 2024,placeholders.csv:445
Stamped Cards,Tinkaton,PAL105,GameStop Stamp,US/Canada,Paldea Evolved - Retailer Gift With Purchase,placeholders.csv:755
Stamped Cards,Tinkaton,PAL105,Paldea Evolved Stamp,US,Paldea Evolved - Retailer Gift With Purchase,placeholders.csv:756
Stamped Cards,Iono,PAL185,Cosmos Holo Iono Zone Stamp,US/UK,Temporal Forces - Iono Premium Tournament Collection,placeholders.csv:347
Stamped Cards,Iron Moth,PAR028,EB Games Stamp,Australia/New Zealand,Paradox Rift - Retailer Gift With Purchase,placeholders.csv:761
Stamped Cards,Iron Moth,PAR028,GameStop Stamp,US/Canada,Paradox Rift - Retailer Gift With Purchase,placeholders.csv:760
Stamped Cards,Snorunt,PAR037,Cosmos Holo Snowflake Stamp,US/UK,Shrouded Fable - Holiday Calendar 2024,placeholders.csv:447
Stamped Cards,Vanilluxe,PAR045,Cosmos Holo Snowflake Stamp,US/UK,Shrouded Fable - Holiday Calendar 2024,placeholders.csv:448
Stamped Cards,Slither Wing,PAR107,Paradox Rift Stamp,US,Paradox Rift - Retailer Gift With Purchase,placeholders.csv:762
Stamped Cards,Vanillish,PAR190,Snowflake Stamp,US/UK,Black Bolt & White Flare - Holiday Calendar 2025,placeholders.csv:710
Stamped Cards,Reshiram,PFL017,Phantasmal Flames Stamp,US,Phantasmal Flames - Retailer Gift With Purchase,mega_placeholders.csv:185
Stamped Cards,Suicune,PFL026,EB Games Stamp,Canada/Australia/New Zealand,Phantasmal Flames - Retailer Gift With Purchase,mega_placeholders.csv:184
Stamped Cards,Suicune,PFL026,GameStop Stamp,US,Phantasmal Flames - Retailer Gift With Purchase,mega_placeholders.csv:183
Stamped Cards,Aurorus,POR024,Perfect Order Stamp,US,Perfect Order - Retailer Gift With Purchase,mega_placeholders.csv:190
Stamped Cards,Luxray,POR027,Perfect Order Stamp,US/Australia/New Zealand,Perfect Order - Retailer Gift With Purchase,mega_placeholders.csv:189
Stamped Cards,Gengar,POR050,EB Games Stamp,Canada/Australia,Perfect Order - Retailer Gift With Purchase,mega_placeholders.csv:188
Stamped Cards,Gengar,POR050,GameStop Stamp,US,Perfect Order - Retailer Gift With Purchase,mega_placeholders.csv:187
Stamped Cards,Leafeon ex,PRE006,Expansion Logo Stamp,US/UK,Prismatic Evolutions - Surprise Box,placeholders.csv:597
Stamped Cards,Flareon ex,PRE014,Expansion Logo Stamp,US/UK,Prismatic Evolutions - Surprise Box,placeholders.csv:598
Stamped Cards,Vaporeon ex,PRE023,Expansion Logo Stamp,US/UK,Prismatic Evolutions - Surprise Box,placeholders.csv:599
Stamped Cards,Glaceon ex,PRE026,Expansion Logo Stamp,US/UK,Prismatic Evolutions - Surprise Box,placeholders.csv:600
Stamped Cards,Glaceon ex,PRE026,Snowflake Stamp,US/UK,Black Bolt & White Flare - Holiday Calendar 2025,placeholders.csv:713
Stamped Cards,Jolteon ex,PRE030,Expansion Logo Stamp,US/UK,Prismatic Evolutions - Surprise Box,placeholders.csv:601
Stamped Cards,Espeon ex,PRE034,Expansion Logo Stamp,US/UK,Prismatic Evolutions - Surprise Box,placeholders.csv:602
Stamped Cards,Sylveon ex,PRE041,Expansion Logo Stamp,US/UK,Prismatic Evolutions - Surprise Box,placeholders.csv:603
Stamped Cards,Umbreon ex,PRE060,Expansion Logo Stamp,US/UK,Prismatic Evolutions - Surprise Box,placeholders.csv:604
Stamped Cards,Eevee,PRE074,Cosmos Parallel Holo Pokemon Day 2025 Stamp,US/UK,Prismatic Evolutions - Prismatic Evolutions Two Pack Blister,placeholders.csv:610
Stamped Cards,Eevee ex,PRE075,Expansion Logo Stamp,US/UK,Prismatic Evolutions - Surprise Box,placeholders.csv:605
Stamped Cards,Lugia ex,PRE082,Prismatic Evolutions Stamp,US/UK,Black Bolt & White Flare - Lugia ex & Latias ex Premium Collection,placeholders.csv:724
