Source Row,Release Set,Release Date,Product,Product Type,Card Name,Card Number,Variant,Region,Notes
mega_placeholders.csv:2,Mega Evolution,2025-09-13,Mega Evolution Build & Battle Box,Build & Battle Box,Meganium,MEP001,Black Star Promo,US/UK,Prerelease promo
mega_placeholders.csv:3,Mega Evolution,2025-09-13,Mega Evolution Build & Battle Box,Build & Battle Box,Inteleon,MEP002,Black Star Promo,US/UK,Prerelease promo
mega_placeholders.csv:4,Mega Evolution,2025-09-13,Mega Evolution Build & Battle Box,Build & Battle Box,Alakazam,MEP003,Black Star Promo,US/UK,Prerelease promo
mega_placeholders.csv:5,Mega Evolution,2025-09-13,Mega Evolution Build & Battle Box,Build & Battle Box,Lunatone,MEP004,Black Star Promo,US/UK,Prerelease promo
mega_placeholders.csv:6,Mega Evolution,2025-09-13,Mega Evolution Build & Battle Box,Build & Battle Box,Meganium,MEG010,Non Holo,US/UK,
mega_placeholders.csv:7,Mega Evolution,2025-09-13,Mega Evolution Build & Battle Box,Build & Battle Box,Xerneas,MEG064,Non Holo,US/UK,
mega_placeholders.csv:8,Mega Evolution,2025-09-13,Mega Evolution Build & Battle Box,Build & Battle Box,Hariyama,MEG074,Non Holo,US/UK,
mega_placeholders.csv:9,Mega Evolution,2025-09-26,Mega Evolution Blisters,Blister,Drifloon,MEP005,Pixel Cosmos Holo,US/UK,
mega_placeholders.csv:10,Mega Evolution,2025-09-26,Mega Evolution Blisters,Blister,Drifblim,MEP006,Pixel Cosmos Holo,US/UK,
mega_placeholders.csv:11,Mega Evolution,2025-09-26,Mega Evolution Blisters,Blister,Psyduck,MEP007,Pixel Cosmos Holo,US/UK,
mega_placeholders.csv:12,Mega Evolution,2025-09-26,Mega Evolution Blisters,Blister,Golduck,MEP008,Pixel Cosmos Holo,US/UK,
mega_placeholders.csv:13,Mega Evolution,2025-09-26,Mega Evolution Blisters,Blister,Sprigatito,JTG016,Standard,US/UK,Journey Together reprint
mega_placeholders.csv:14,Mega Evolution,2025-09-26,Mega Evolution Blisters,Blister,Floragato,JTG017,Standard,US/UK,Journey Together reprint
mega_placeholders.csv:15,Mega Evolution,2025-09-26,Mega Evolution Blisters,Blister,Meowscarada,JTG018,Cosmos Holo,US/UK,Journey Together reprint
mega_placeholders.csv:16,Mega Evolution,2025-09-26,Mega Evolution Blisters,Blister,Wailmer,JTG040,Standard,US/UK,Journey Together reprint
mega_placeholders.csv:17,Mega Evolution,2025-09-26,Mega Evolution Blisters,Blister,Wailord,JTG041,Cosmos Holo,US/UK,Journey Together reprint
mega_placeholders.csv:18,Mega Evolution,2025-09-26,Mega Evolution Blisters,Blister,Larvitar,JTG080,Standard,US/UK,Journey Together reprint
mega_placeholders.csv:19,Mega Evolution,2025-09-26,Mega Evolution Blisters,Blister,Pupitar,JTG081,Standard,US/UK,Journey Together reprint
mega_placeholders.csv:20,Mega Evolution,2025-09-26,Mega Evolution Blisters,Blister,Rockruff,JTG084,Standard,US/UK,Journey Together reprint
mega_placeholders.csv:21,Mega Evolution,2025-09-26,Mega Evolution Blisters,Blister,Lycanroc,JTG085,Cosmos Holo,US/UK,Journey Together reprint
mega_placeholders.csv:22,Mega Evolution,2025-09-26,Mega Evolution Blisters,Blister,Tyranitar,JTG095,Cosmos Holo,US/UK,Journey Together reprint
mega_placeholders.csv:23,Mega Evolution,2025-09-26,Mega Evolution Booster Display Boxes,Booster Display Box,Bulbasaur,MEG133,Mega Evolution Stamp,US/UK,Enhanced Booster Display Box bonus card
mega_placeholders.csv:24,Mega Evolution,2025-09-26,Mega Evolution Elite Trainer Box,Elite Trainer Box,Alakazam,MEP009,Black Star Promo,US/UK,
mega_placeholders.csv:25,Mega Evolution,2025-09-26,Mega Evolution Elite Trainer Box,Elite Trainer Box,Alakazam,MEP009,Pokemon Center Stamp,US/UK,
mega_placeholders.csv:26,Mega Evolution,2025-09-26,Mega Evolution Elite Trainer Box,Elite Trainer Box,Riolu,MEP010,Black Star Promo,US/UK,
mega_placeholders.csv:27,Mega Evolution,2025-09-26,Mega Evolution Elite Trainer Box,Elite Trainer Box,Riolu,MEP010,Pokemon Center Stamp,US/UK,
mega_placeholders.csv:28,Mega Evolution,2025-10-10,Mega Latias ex Box,Collection Box,Mega Latias ex,MEP011,Black Star Promo,US/UK,
mega_placeholders.csv:29,Mega Evolution,2025-10-24,Trainer's Toolkit 2025,Trainer's Toolkit,Black Belt's Training,SVP219,Black Star Promo,US/UK,SVP promo in Mega-era product
mega_placeholders.csv:30,Mega Evolution,2025-10-24,Trainer's Toolkit 2025,Trainer's Toolkit,Black Belt's Training,SVP220,Black Star Promo,US/UK,SVP promo in Mega-era product
mega_placeholders.csv:31,Mega Evolution,2025-10-24,Trainer's Toolkit 2025,Trainer's Toolkit,Professor's Research [Professor Birch],SVP221,Black Star Promo,US/UK,SVP promo in Mega-era product
mega_placeholders.csv:32,Mega Evolution,2025-10-24,Trainer's Toolkit 2025,Trainer's Toolkit,Professor's Research [Professor Kukui],SVP222,Black Star Promo,US/UK,SVP promo in Mega-era product
mega_placeholders.csv:33,Mega Evolution,2025-10-24,Trainer's Toolkit 2025,Trainer's Toolkit,Professor's Research [Professor Magnolia],SVP223,Black Star Promo,US/UK,SVP promo in Mega-era product
mega_placeholders.csv:34,Mega Evolution,2025-10-24,Trainer's Toolkit 2025,Trainer's Toolkit,Boss's Orders [Ghetsis],PAL172,Non Holo,US/UK,Paldea Evolved reprint
mega_placeholders.csv:35,Mega Evolution,2025-10-24,Mega Battle Deck Mega Gengar ex,Mega Battle Deck,Haunter,MEP027,Black Star Promo,US/UK,
mega_placeholders.csv:36,Mega Evolution,2025-10-24,Mega Battle Deck Mega Diancie ex,Mega Battle Deck,Meloetta,MEP026,Black Star Promo,US/UK,
mega_placeholders.csv:37,Mega Evolution,2025-11-07,Mega Lucario ex Figure Collection,Figure Collection,Mega Lucario ex,MEP012,Black Star Promo,US/UK,
mega_placeholders.csv:38,Phantasmal Flames,2025-11-01,Phantasmal Flames Build & Battle Box,Build & Battle Box,Ceruledge,MEP014,Black Star Promo,US/UK,Prerelease promo
mega_placeholders.csv:39,Phantasmal Flames,2025-11-01,Phantasmal Flames Build & Battle Box,Build & Battle Box,Zacian,MEP015,Black Star Promo,US/UK,Prerelease promo
mega_placeholders.csv:40,Phantasmal Flames,2025-11-01,Phantasmal Flames Build & Battle Box,Build & Battle Box,Flygon,MEP016,Black Star Promo,US/UK,Prerelease promo
mega_placeholders.csv:41,Phantasmal Flames,2025-11-01,Phantasmal Flames Build & Battle Box,Build & Battle Box,Toxtricity,MEP017,Black Star Promo,US/UK,Prerelease promo
mega_placeholders.csv:42,Phantasmal Flames,2025-11-14,Phantasmal Flames Blisters,Blister,Cottonee,MEP018,Smooth Cosmos Holo,US/UK,
mega_placeholders.csv:43,Phantasmal Flames,2025-11-14,Phantasmal Flames Blisters,Blister,Whimsicott,MEP019,Smooth Cosmos Holo,US/UK,
mega_placeholders.csv:44,Phantasmal Flames,2025-11-14,Phantasmal Flames Blisters,Blister,Sneasel,MEP020,Smooth Cosmos Holo,US/UK,
mega_placeholders.csv:45,Phantasmal Flames,2025-11-14,Phantasmal Flames Blisters,Blister,Weavile,MEP021,Smooth Cosmos Holo,US/UK,
mega_placeholders.csv:46,Phantasmal Flames,2025-11-14,Phantasmal Flames Blisters,Blister,Applin,DRI016,Standard,US/UK,Destined Rivals reprint
mega_placeholders.csv:47,Phantasmal Flames,2025-11-14,Phantasmal Flames Blisters,Blister,Dipplin,DRI017,Standard,US/UK,Destined Rivals reprint
mega_placeholders.csv:48,Phantasmal Flames,2025-11-14,Phantasmal Flames Blisters,Blister,Hydrapple,DRI018,Pixel Cosmos Holo,US/UK,Destined Rivals reprint
mega_placeholders.csv:49,Phantasmal Flames,2025-11-14,Phantasmal Flames Blisters,Blister,Torchic,DRI040,Standard,US/UK,Destined Rivals reprint
mega_placeholders.csv:50,Phantasmal Flames,2025-11-14,Phantasmal Flames Blisters,Blister,Combusken,DRI041,Standard,US/UK,Destined Rivals reprint
mega_placeholders.csv:51,Phantasmal Flames,2025-11-14,Phantasmal Flames Blisters,Blister,Blaziken,DRI042,Pixel Cosmos Holo,US/UK,Destined Rivals reprint
mega_placeholders.csv:52,Phantasmal Flames,2025-11-14,Phantasmal Flames Elite Trainer Box,Elite Trainer Box,Charcadet,MEP022,Black Star Promo,US/UK,
mega_placeholders.csv:53,Phantasmal Flames,2025-11-14,Phantasmal Flames Elite Trainer Box,Elite Trainer Box,Charcadet,MEP022,Pokemon Center Stamp,US/UK,
mega_placeholders.csv:54,Phantasmal Flames,2025-11-14,Mega Charizard X ex Ultra-Premium Collection,Ultra-Premium Collection,Mega Charizard X ex,MEP023,Black Star Promo,US/UK,
mega_placeholders.csv:55,Phantasmal Flames,2025-11-14,Mega Charizard X ex Ultra-Premium Collection,Ultra-Premium Collection,Oricorio ex,MEP024,Black Star Promo,US/UK,
mega_placeholders.csv:56,Phantasmal Flames,2025-11-14,Mega Evolution Knock Out Collection,Knock Out Collection,Kyogre,MEG034,Standard,US/UK,
mega_placeholders.csv:57,Phantasmal Flames,2025-11-14,Mega Evolution Knock Out Collection,Knock Out Collection,Suicune,PFL026,Standard,US/UK,
