Category,Card Name,Card Number,Variant,Region,Purchase Options,Source Rows
Stamped Cards,Xerneas,MEG064,Mega Evolution Stamp,US/Australia/New Zealand,Mega Evolution - Retailer Gift With Purchase,mega_placeholders.csv:180
Stamped Cards,Bulbasaur,MEG133,Mega Evolution Stamp,US/UK,Mega Evolution - Mega Evolution Booster Display Boxes,mega_placeholders.csv:23
Stamped Cards,Meganium,MEP001,Black Star Promo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,mega_placeholders.csv:2
Stamped Cards,Inteleon,MEP002,Black Star Promo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,mega_placeholders.csv:3
Stamped Cards,Alakazam,MEP003,Black Star Promo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,mega_placeholders.csv:4
Stamped Cards,Lunatone,MEP004,Black Star Promo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,mega_placeholders.csv:5
Stamped Cards,Ceruledge,MEP014,Black Star Promo,US/UK,Phantasmal Flames - Phantasmal Flames Build & Battle Box,mega_placeholders.csv:38
Stamped Cards,Zacian,MEP015,Black Star Promo,US/UK,Phantasmal Flames - Phantasmal Flames Build & Battle Box,mega_placeholders.csv:39
Stamped Cards,Flygon,MEP016,Black Star Promo,US/UK,Phantasmal Flames - Phantasmal Flames Build & Battle Box,mega_placeholders.csv:40
Stamped Cards,Toxtricity,MEP017,Black Star Promo,US/UK,Phantasmal Flames - Phantasmal Flames Build & Battle Box,mega_placeholders.csv:41
Stamped Cards,Serperior,MEP064,Black Star Promo,US/UK,Perfect Order - Perfect Order Build & Battle Box,mega_placeholders.csv:89
Stamped Cards,Barbaracle,MEP065,Black Star Promo,US/UK,Perfect Order - Perfect Order Build & Battle Box,mega_placeholders.csv:90
Stamped Cards,Tyrantrum,MEP066,Black Star Promo,US/UK,Perfect Order - Perfect Order Build & Battle Box,mega_placeholders.csv:91
Stamped Cards,Doublade,MEP067,Black Star Promo,US/UK,Perfect Order - Perfect Order Build & Battle Box,mega_placeholders.csv:92
Stamped Cards,Delphox,MEP074,Black Star Promo,US/UK,Chaos Rising - Chaos Rising Build & Battle Box,mega_placeholders.csv:114
Stamped Cards,Ampharos,MEP075,Black Star Promo,US/UK,Chaos Rising - Chaos Rising Build & Battle Box,mega_placeholders.csv:115
Stamped Cards,Crobat,MEP076,Black Star Promo,US/UK,Chaos Rising - Chaos Rising Build & Battle Box,mega_placeholders.csv:116
Stamped Cards,Goodra,MEP077,Black Star Promo,US/UK,Chaos Rising - Chaos Rising Build & Battle Box,mega_placeholders.csv:117
Stamped Cards,Reshiram,PFL017,Phantasmal Flames Stamp,US,Phantasmal Flames - Retailer Gift With Purchase,mega_placeholders.csv:185
Stamped Cards,Suicune,PFL026,EB Games Stamp,Canada/Australia/New Zealand,Phantasmal Flames - Retailer Gift With Purchase,mega_placeholders.csv:184
Stamped Cards,Suicune,PFL026,GameStop Stamp,US,Phantasmal Flames - Retailer Gift With Purchase,mega_placeholders.csv:183
Stamped Cards,Aurorus,POR024,Perfect Order Stamp,US,Perfect Order - Retailer Gift With Purchase,mega_placeholders.csv:190
Stamped Cards,Luxray,POR027,Perfect Order Stamp,US/Australia/New Zealand,Perfect Order - Retailer Gift With Purchase,mega_placeholders.csv:189
Stamped Cards,Gengar,POR050,EB Games Stamp,Canada/Australia,Perfect Order - Retailer Gift With Purchase,mega_placeholders.csv:188
Stamped Cards,Gengar,POR050,GameStop Stamp,US,Perfect Order - Retailer Gift With Purchase,mega_placeholders.csv:187
Stamped Cards,Pikachu,TEF051,2026 Pokemon Day Stamp,US/UK,Mega Evolution - Pokemon Day 2026 Collection,mega_placeholders.csv:65
Stamped Cards,Archeops,WHT051,Excavator Pikachu Stamp,US/UK,Black Bolt & White Flare - Pokemon Fossil Museum merchandise,mega_placeholders.csv:132
Stamped Cards,Delphox,,Chaos Rising Stamp,US/Australia/New Zealand,Chaos Rising - Retailer Gift With Purchase,mega_placeholders.csv:194
Stamped Cards,Genesect,,Phantasmal Flames Stamp,US/Australia/New Zealand,Phantasmal Flames - Retailer Gift With Purchase,mega_placeholders.csv:186
Stamped Cards,Ho-Oh,,EB Games Stamp,Canada/Australia,Chaos Rising - Retailer Gift With Purchase,mega_placeholders.csv:192
Stamped Cards,Ho-Oh,,GameStop Stamp,US,Chaos Rising - Retailer Gift With Purchase,mega_placeholders.csv:191
Stamped Cards,Keldeo,,Chaos Rising Stamp,US,Chaos Rising - Retailer Gift With Purchase,mega_placeholders.csv:193
Stamped Cards,Yveltal,,EB Games Stamp,Canada/Australia/New Zealand,Mega Evolution - Retailer Gift With Purchase,mega_placeholders.csv:182
Stamped Cards,Yveltal,,GameStop Stamp,US,Mega Evolution - Retailer Gift With Purchase,mega_placeholders.csv:181
Promo Cards,Black Belt's Training,SVP219,Black Star Promo,US/UK,Mega Evolution - Trainer's Toolkit 2025,mega_placeholders.csv:29
Promo Cards,Black Belt's Training,SVP220,Black Star Promo,US/UK,Mega Evolution - Trainer's Toolkit 2025,mega_placeholders.csv:30
Promo Cards,Professor's Research [Professor Birch],SVP221,Black Star Promo,US/UK,Mega Evolution - Trainer's Toolkit 2025,mega_placeholders.csv:31
Promo Cards,Professor's Research [Professor Kukui],SVP222,Black Star Promo,US/UK,Mega Evolution - Trainer's Toolkit 2025,mega_placeholders.csv:32
Promo Cards,Professor's Research [Professor Magnolia],SVP223,Black Star Promo,US/UK,Mega Evolution - Trainer's Toolkit 2025,mega_placeholders.csv:33
MCAP Cards,Chikorita,ASC008,Pixel Cosmos Holo,US/UK,Ascended Heroes - Ascended Heroes First Partners Deluxe Pin Collection,mega_placeholders.csv:77
MCAP Cards,Charmander,ASC020,Pixel Cosmos Holo,US/UK,Ascended Heroes - Ascended Heroes Tech Sticker Collections,mega_placeholders.csv:66
MCAP Cards,Tepig,ASC029,Pixel Cosmos Holo,US/UK,Ascended Heroes - Ascended Heroes First Partners Deluxe Pin Collection,mega_placeholders.csv:78
MCAP Cards,Totodile,ASC041,Pixel Cosmos Holo,US/UK,Ascended Heroes - Ascended Heroes First Partners Deluxe Pin Collection,mega_placeholders.csv:79
MCAP Cards,Gastly,ASC123,Pixel Cosmos Holo,US/UK,Ascended Heroes - Ascended Heroes Tech Sticker Collections,mega_placeholders.csv:67
MCAP Cards,Hydrapple,DRI018,Pixel Cosmos Holo,US/UK,Phantasmal Flames - Phantasmal Flames Blisters,mega_placeholders.csv:48
MCAP Cards,Blaziken,DRI042,Pixel Cosmos Holo,US/UK,Phantasmal Flames - Phantasmal Flames Blisters,mega_placeholders.csv:51
MCAP Cards,Meowscarada,JTG018,Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Blisters,mega_placeholders.csv:15
MCAP Cards,Wailord,JTG041,Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Blisters,mega_placeholders.csv:17
MCAP Cards,Lycanroc,JTG085,Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Blisters,mega_placeholders.csv:21
MCAP Cards,Tyranitar,JTG095,Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Blisters,mega_placeholders.csv:22
MCAP Cards,Meganium,MEG010,Non Holo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,mega_placeholders.csv:6
MCAP Cards,Meganium,MEG010,Pixel Cosmos Holo,US/UK,Perfect Order - Perfect Order Blisters,mega_placeholders.csv:97
