Source Row,Release Set,Release Date,Product,Product Type,Card Name,Card Number,Variant,Region,Notes
2,Sword & Shield,2023-06-09,Trainer's Toolkit 2023,Trainer's Toolkit,Arceus V,SWSH306,Black Star Promo,US/UK,One copy included; new exclusive artwork
3,Sword & Shield,2023-06-09,Trainer's Toolkit 2023,Trainer's Toolkit,Arceus VSTAR,SWSH307,Black Star Promo,US/UK,One copy included; new exclusive artwork
4,Sword & Shield,2023-06-09,Trainer's Toolkit 2023,Trainer's Toolkit,Boss's Orders,BRS132,Non Holo,US/UK,Two copies included; rereleased promotional card
5,Sword & Shield,2023-06-09,Trainer's Toolkit 2023,Trainer's Toolkit,Irida,ASR147,Non Holo,US/UK,Two copies included; rereleased promotional card
6,Sword & Shield,2023-09-01,Meowscarada ex Deluxe Battle Deck,Deluxe Battle Deck,Irida,ASR147,Non Holo,US/UK,Rereleased promotional card
7,Sword & Shield,2023-09-01,Holiday Calendar 2023,Holiday Calendar,Glaceon V,EVS040,Snowflake Stamp,US/UK,
8,Sword & Shield,2023-09-01,Holiday Calendar 2023,Holiday Calendar,Glaceon VMAX,EVS041,Snowflake Stamp,US/UK,
9,Sword & Shield,2023-09-01,Holiday Calendar 2023,Holiday Calendar,Cryogonal,EVS043,Pixel Cosmos Snowflake Stamp,US/UK,
10,Sword & Shield,2023-09-01,Holiday Calendar 2023,Holiday Calendar,Snom,FST084,Pixel Cosmos Snowflake Stamp,US/UK,
11,Sword & Shield,2023-09-01,Holiday Calendar 2023,Holiday Calendar,Stantler,ASR125,Pixel Cosmos Snowflake Stamp,US/UK,
12,Sword & Shield,2023-09-01,Holiday Calendar 2023,Holiday Calendar,Glastrier,LOR051,Pixel Cosmos Snowflake Stamp,US/UK,
13,Sword & Shield,2023-09-01,Holiday Calendar 2023,Holiday Calendar,Alolan Vulpix V,SIT033,Snowflake Stamp,US/UK,
14,Sword & Shield,2023-09-01,Holiday Calendar 2023,Holiday Calendar,Pikachu,SIT049,Pixel Cosmos Snowflake Stamp,US/UK,
15,Sword & Shield,2023-09-22,Evolving Powers Premium Collection,Premium Collection,Gardevoir V,CPA016,Reprint,US/UK,
16,Sword & Shield,2023-09-22,Evolving Powers Premium Collection,Premium Collection,Gardevoir VMAX,CPA017,Reprint,US/UK,
17,Sword & Shield,2023-09-22,Evolving Powers Premium Collection,Premium Collection,Magnezone V,LOR056,Reprint,US/UK,
18,Sword & Shield,2023-09-22,Evolving Powers Premium Collection,Premium Collection,Magnezone VSTAR,LOR057,Reprint,US/UK,
19,Sword & Shield,2023-11-17,Miraidon ex League Battle Deck,League Battle Deck,Forest Seal Stone,SIT156,Non Holo,US/UK,Exclusive promotional card
20,Sword & Shield,2023-11-17,Miraidon ex League Battle Deck,League Battle Deck,Bibarel,BRS121,Non Holo,US/UK,Rereleased promotional card
21,Sword & Shield,2024-03-22,Ninetales & Zapdos ex Deluxe Battle Decks,Deluxe Battle Deck,Rapidash,SIT022,Non Holo,US/UK,Rereleased promotional card; exact deck mapping to verify
22,Sword & Shield,2024-04-19,Gardevoir ex League Battle Deck,League Battle Deck,Cresselia,LOR125,Non Holo,US/UK,Exclusive promotional card
23,Sword & Shield,2024-11-15,Charizard ex League Battle Deck,League Battle Deck,Forest Seal Stone,SIT156,Non Holo,US/UK,Rereleased promotional card
