Card Name,Card Number,Variant,Region,Purchase Options,Source Rows
Stantler,ASR125,Pixel Cosmos Snowflake Stamp,US/UK,Sword & Shield - Holiday Calendar 2023,11
Irida,ASR147,Non Holo,US/UK,Sword & Shield - Trainer's Toolkit 2023 | Sword & Shield - Meowscarada ex Deluxe Battle Deck,5 | 6
Bibarel,BRS121,Non Holo,US/UK,Sword & Shield - Miraidon ex League Battle Deck,20
Boss's Orders,BRS132,Non Holo,US/UK,Sword & Shield - Trainer's Toolkit 2023,4
Gardevoir V,CPA016,Reprint,US/UK,Sword & Shield - Evolving Powers Premium Collection,15
Gardevoir VMAX,CPA017,Reprint,US/UK,Sword & Shield - Evolving Powers Premium Collection,16
Glaceon V,EVS040,Snowflake Stamp,US/UK,Sword & Shield - Holiday Calendar 2023,7
Glaceon VMAX,EVS041,Snowflake Stamp,US/UK,Sword & Shield - Holiday Calendar 2023,8
Cryogonal,EVS043,Pixel Cosmos Snowflake Stamp,US/UK,Sword & Shield - Holiday Calendar 2023,9
Snom,FST084,Pixel Cosmos Snowflake Stamp,US/UK,Sword & Shield - Holiday Calendar 2023,10
Glastrier,LOR051,Pixel Cosmos Snowflake Stamp,US/UK,Sword & Shield - Holiday Calendar 2023,12
Magnezone V,LOR056,Reprint,US/UK,Sword & Shield - Evolving Powers Premium Collection,17
Magnezone VSTAR,LOR057,Reprint,US/UK,Sword & Shield - Evolving Powers Premium Collection,18
Cresselia,LOR125,Non Holo,US/UK,Sword & Shield - Gardevoir ex League Battle Deck,22
Rapidash,SIT022,Non Holo,US/UK,Sword & Shield - Ninetales & Zapdos ex Deluxe Battle Decks,21
Alolan Vulpix V,SIT033,Snowflake Stamp,US/UK,Sword & Shield - Holiday Calendar 2023,13
Pikachu,SIT049,Pixel Cosmos Snowflake Stamp,US/UK,Sword & Shield - Holiday Calendar 2023,14
Forest Seal Stone,SIT156,Non Holo,US/UK,Sword & Shield - Miraidon ex League Battle Deck | Sword & Shield - Charizard ex League Battle Deck,19 | 23
Arceus V,SWSH306,Black Star Promo,US/UK,Sword & Shield - Trainer's Toolkit 2023,2
Arceus VSTAR,SWSH307,Black Star Promo,US/UK,Sword & Shield - Trainer's Toolkit 2023,3
