Source Row,Release Set,Release Date,Product,Product Type,Card Name,Card Number,Variant,Region,Notes
3,Scarlet & Violet,2023-01-06,Sprigatito Collection,Collection Box,Sprigatito,SVP001,Black Star Promo,US/UK,English exclusive promo
4,Scarlet & Violet,2023-01-06,Sprigatito Collection,Collection Box,Sprigatito,SVI013,Mirage Holo,US/UK,Product-exclusive holo treatment
5,Scarlet & Violet,2023-01-06,Sprigatito Collection,Collection Box,Fuecoco,SVI036,Mirage Holo,US/UK,Product-exclusive holo treatment
6,Scarlet & Violet,2023-01-06,Sprigatito Collection,Collection Box,Quaxly,SVI052,Mirage Holo,US/UK,Product-exclusive holo treatment
7,Scarlet & Violet,2023-01-06,Fuecoco Collection,Collection Box,Fuecoco,SVP002,Black Star Promo,US/UK,English exclusive promo
8,Scarlet & Violet,2023-01-06,Fuecoco Collection,Collection Box,Sprigatito,SVI013,Mirage Holo,US/UK,Product-exclusive holo treatment
9,Scarlet & Violet,2023-01-06,Fuecoco Collection,Collection Box,Fuecoco,SVI036,Mirage Holo,US/UK,Product-exclusive holo treatment
10,Scarlet & Violet,2023-01-06,Fuecoco Collection,Collection Box,Quaxly,SVI052,Mirage Holo,US/UK,Product-exclusive holo treatment
11,Scarlet & Violet,2023-01-06,Quaxly Collection,Collection Box,Quaxly,SVP003,Black Star Promo,US/UK,English exclusive promo
12,Scarlet & Violet,2023-01-06,Quaxly Collection,Collection Box,Sprigatito,SVI013,Mirage Holo,US/UK,Product-exclusive holo treatment
13,Scarlet & Violet,2023-01-06,Quaxly Collection,Collection Box,Fuecoco,SVI036,Mirage Holo,US/UK,Product-exclusive holo treatment
14,Scarlet & Violet,2023-01-06,Quaxly Collection,Collection Box,Quaxly,SVI052,Mirage Holo,US/UK,Product-exclusive holo treatment
15,Scarlet & Violet,2023-03-03,Mimikyu ex Box,Collection Box,Mimikyu ex,SVP004,Black Star Promo,US/UK,Cut from Scarlet & Violet during localization
16,Scarlet & Violet,2023-03-03,Mimikyu ex Box,Collection Box,Greavard,SVI105,Mirage Holo,US/UK,Product-exclusive holo treatment
17,Scarlet & Violet,2023-03-18,Build & Battle Box,Build & Battle Box,Quaquaval,SVP005,Black Star Promo,US/UK,One of four possible promo decks
18,Scarlet & Violet,2023-03-18,Build & Battle Box,Build & Battle Box,Pawmot,SVP006,Black Star Promo,US/UK,One of four possible promo decks
19,Scarlet & Violet,2023-03-18,Build & Battle Box,Build & Battle Box,Hawlucha,SVP007,Black Star Promo,US/UK,One of four possible promo decks
20,Scarlet & Violet,2023-03-18,Build & Battle Box,Build & Battle Box,Revavroom,SVP008,Black Star Promo,US/UK,One of four possible promo decks
21,Scarlet & Violet,2023-03-18,Build & Battle Box,Build & Battle Box,Quaquaval,SVI054,Non Holo,US/UK,Deck-exclusive
22,Scarlet & Violet,2023-03-18,Build & Battle Box,Build & Battle Box,Dondozo,SVI061,Non Holo,US/UK,Deck-exclusive
23,Scarlet & Violet,2023-03-18,Build & Battle Box,Build & Battle Box,Pawmot,SVI076,Non Holo,US/UK,Deck-exclusive
24,Scarlet & Violet,2023-03-18,Build & Battle Box,Build & Battle Box,Revavroom,SVI142,Non Holo,US/UK,Deck-exclusive
25,Scarlet & Violet,2023-03-18,Build & Battle Box,Build & Battle Box,Professor's Research,SVI189,Non Holo,US/UK,Deck-exclusive (Professor Sada)
26,Scarlet & Violet,2023-03-18,Build & Battle Box,Build & Battle Box,Professor's Research,SVI190,Non Holo,US/UK,Deck-exclusive (Professor Turo)
27,Scarlet & Violet,2023-03-31,Single Pack Blister,Single Pack Blister,Spidops,SVP009,Smooth Cosmos,US/UK,Initial release; later reprinted with Pixel Cosmos
28,Scarlet & Violet,,Single Pack Blister (Reprint),Single Pack Blister,Spidops,SVP009,Pixel Cosmos,US/UK,Mid-2024 reprint
29,Scarlet & Violet,2023-03-31,Single Pack Blister,Single Pack Blister,Espathra,SVP010,Smooth Cosmos,US/UK,
30,Scarlet & Violet,2023-03-31,3-Pack Blister,Three Pack Blister,Arcanine,SVP011,Smooth Cosmos,US/UK,Initial release; later reprinted with Pixel Cosmos
31,Scarlet & Violet,,3-Pack Blister (Reprint),Three Pack Blister,Arcanine,SVP011,Pixel Cosmos,US/UK,Mid-2024 reprint
32,Scarlet & Violet,2023-03-31,3-Pack Blister,Three Pack Blister,Dondozo,SVP012,Smooth Cosmos,US/UK,Initial release; later reprinted with Pixel Cosmos
33,Scarlet & Violet,,3-Pack Blister (Reprint),Three Pack Blister,Dondozo,SVP012,Pixel Cosmos,US/UK,Mid-2024 reprint
34,Scarlet & Violet,2023-03-31,Elite Trainer Box,Elite Trainer Box,Miraidon,SVP013,Black Star Promo,US/UK,
35,Scarlet & Violet,2023-03-31,Pokémon Center ETB,Pokémon Center Elite Trainer Box,Miraidon,SVP013,Pokémon Center Stamp,US/UK,
36,Scarlet & Violet,2023-03-31,Elite Trainer Box,Elite Trainer Box,Koraidon,SVP014,Black Star Promo,US/UK,
37,Scarlet & Violet,2023-03-31,Pokémon Center ETB,Pokémon Center Elite Trainer Box,Koraidon,SVP014,Pokémon Center Stamp,US/UK,
38,Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Quaquaval,SVP005,Black Star Promo,US/UK,Contains two Build & Battle Boxes
39,Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Pawmot,SVP006,Black Star Promo,US/UK,Contains two Build & Battle Boxes
40,Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Hawlucha,SVP007,Black Star Promo,US/UK,Contains two Build & Battle Boxes
