Release Set,Release Date,Product,Product Type,Card Name,Card Number,Variant,Region,Notes
Scarlet & Violet,2023-01-06,Sprigatito Collection,Collection Box,Sprigatito,SVP001,Black Star Promo,US/UK,English exclusive promo
Scarlet & Violet,2023-01-06,Sprigatito Collection,Collection Box,Sprigatito,SVI013,Mirage Holo,US/UK,Product-exclusive holo treatment
Scarlet & Violet,2023-01-06,Sprigatito Collection,Collection Box,Fuecoco,SVI036,Mirage Holo,US/UK,Product-exclusive holo treatment
Scarlet & Violet,2023-01-06,Sprigatito Collection,Collection Box,Quaxly,SVI052,Mirage Holo,US/UK,Product-exclusive holo treatment
Scarlet & Violet,2023-01-06,Fuecoco Collection,Collection Box,Fuecoco,SVP002,Black Star Promo,US/UK,English exclusive promo
Scarlet & Violet,2023-01-06,Fuecoco Collection,Collection Box,Sprigatito,SVI013,Mirage Holo,US/UK,Product-exclusive holo treatment
Scarlet & Violet,2023-01-06,Fuecoco Collection,Collection Box,Fuecoco,SVI036,Mirage Holo,US/UK,Product-exclusive holo treatment
Scarlet & Violet,2023-01-06,Fuecoco Collection,Collection Box,Quaxly,SVI052,Mirage Holo,US/UK,Product-exclusive holo treatment
Scarlet & Violet,2023-01-06,Quaxly Collection,Collection Box,Quaxly,SVP003,Black Star Promo,US/UK,English exclusive promo
Scarlet & Violet,2023-01-06,Quaxly Collection,Collection Box,Sprigatito,SVI013,Mirage Holo,US/UK,Product-exclusive holo treatment
Scarlet & Violet,2023-01-06,Quaxly Collection,Collection Box,Fuecoco,SVI036,Mirage Holo,US/UK,Product-exclusive holo treatment
Scarlet & Violet,2023-01-06,Quaxly Collection,Collection Box,Quaxly,SVI052,Mirage Holo,US/UK,Product-exclusive holo treatment
Scarlet & Violet,2023-03-03,Mimikyu ex Box,Collection Box,Mimikyu ex,SVP004,Black Star Promo,US/UK,Cut from Scarlet & Violet during localization
Scarlet & Violet,2023-03-03,Mimikyu ex Box,Collection Box,Greavard,SVI105,Mirage Holo,US/UK,Product-exclusive holo treatment
Scarlet & Violet,2023-03-18,Build & Battle Box,Build & Battle Box,Quaquaval,SVP005,Black Star Promo,US/UK,One of four possible promo decks
Scarlet & Violet,2023-03-18,Build & Battle Box,Build & Battle Box,Pawmot,SVP006,Black Star Promo,US/UK,One of four possible promo decks
