sku,product_id,subtype,language,condition,quantity,price_override,title_override,notes
84702-holofoil,84702,Holofoil,english,Near Mint,1,,,
85630-holofoil,85630,Holofoil,english,Near Mint,1,,,
127130-holofoil,127130,Holofoil,english,Near Mint,1,,,
201216-reverse-holofoil,201216,Reverse Holofoil,english,Near Mint,1,,,
87858,87858,Normal,english,Near Mint,2,,,
90436,90436,Normal,english,Near Mint,1,,,
642680-holofoil,642680,Holofoil,english,Near Mint,1,,,
654703-holofoil,654703,Holofoil,english,Near Mint,1,,,
183797-reverse-holofoil,183797,Reverse Holofoil,english,Near Mint,1,,,
642670-holofoil,642670,Holofoil,english,Near Mint,1,,,
121952-holofoil,121952,Holofoil,english,Near Mint,1,,,
642688-holofoil,642688,Holofoil,english,Near Mint,1,,,
517028-holofoil,517028,Holofoil,english,Near Mint,1,,,
642646-holofoil,642646,Holofoil,english,Near Mint,2,,,
85297-unlimited,85297,Unlimited,english,Near Mint,1,,,
118859-holofoil,118859,Holofoil,english,Near Mint,1,,,
188320-holofoil,188320,Holofoil,english,Near Mint,1,,,
206824-holofoil,206824,Holofoil,english,Near Mint,2,,,
589944-holofoil,589944,Holofoil,english,Near Mint,1,,,
86029,86029,Normal,english,Near Mint,2,,,
178978,178978,Normal,english,Near Mint,1,,,
232413-holofoil,232413,Holofoil,english,Near Mint,1,,,
264283-holofoil,264283,Holofoil,english,Near Mint,1,,,
117847-holofoil,117847,Holofoil,english,Near Mint,1,,,
250342-holofoil,250342,Holofoil,english,Near Mint,1,,,
534681-holofoil,534681,Holofoil,english,Near Mint,1,,,
523925-holofoil,523925,Holofoil,english,Near Mint,1,,,
478115-holofoil,478115,Holofoil,english,Near Mint,1,,,
201216,201216,Normal,english,Near Mint,2,,,
478031-holofoil,478031,Holofoil,english,Near Mint,1,,,
567470-holofoil,567470,Holofoil,english,Near Mint,1,,,
107021-unlimited,107021,Unlimited,english,Near Mint,1,,,
523916-holofoil,523916,Holofoil,english,Near Mint,1,,,
131727-holofoil,131727,Holofoil,english,Near Mint,1,,,
684371-holofoil,684371,Holofoil,english,Near Mint,1,,,
623603-holofoil,623603,Holofoil,english,Near Mint,1,,,
550233-holofoil,550233,Holofoil,english,Near Mint,1,,,
130947-holofoil,130947,Holofoil,english,Near Mint,1,,,
610540-holofoil,610540,Holofoil,english,Near Mint,1,,,
684365-holofoil,684365,Holofoil,english,Near Mint,1,,,
241722-reverse-holofoil,241722,Reverse Holofoil,english,Near Mint,1,,,
451725-holofoil,451725,Holofoil,english,Near Mint,1,,,
487435-holofoil,487435,Holofoil,english,Near Mint,1,,,
527992-holofoil,527992,Holofoil,english,Near Mint,1,,,
477053-holofoil,477053,Holofoil,english,Near Mint,1,,,
234205-holofoil,234205,Holofoil,english,Near Mint,1,,,
527879-holofoil,527879,Holofoil,english,Near Mint,1,,,
487951-holofoil,487951,Holofoil,english,Near Mint,1,,,
630823-holofoil,630823,Holofoil,english,Near Mint,1,,,
619584-holofoil,619584,Holofoil,english,Near Mint,1,,,
630824-holofoil,630824,Holofoil,english,Near Mint,1,,,
623502-holofoil,623502,Holofoil,english,Near Mint,1,,,
662186-holofoil,662186,Holofoil,english,Near Mint,1,,,
486612-holofoil,486612,Holofoil,english,Near Mint,1,,,
660379-holofoil,660379,Holofoil,english,Near Mint,1,,,
610566-holofoil,610566,Holofoil,english,Near Mint,1,,,
684336-holofoil,684336,Holofoil,english,Near Mint,1,,,
684329-holofoil,684329,Holofoil,english,Near Mint,1,,,
610617-holofoil,610617,Holofoil,english,Near Mint,1,,,
686275-holofoil,686275,Holofoil,english,Near Mint,1,,,
684376-holofoil,684376,Holofoil,english,Near Mint,1,,,
610597-holofoil,610597,Holofoil,english,Near Mint,1,,,
610600-holofoil,610600,Holofoil,english,Near Mint,1,,,
610541-holofoil,610541,Holofoil,english,Near Mint,1,,,
610577-holofoil,610577,Holofoil,english,Near Mint,1,,,
526634-holofoil,526634,Holofoil,english,Near Mint,1,,,
610587-holofoil,610587,Holofoil,english,Near Mint,1,,,
610621-holofoil,610621,Holofoil,english,Near Mint,1,,,
610604-holofoil,610604,Holofoil,english,Near Mint,2,,,
610622-holofoil,610622,Holofoil,english,Near Mint,1,,,
516561-reverse-holofoil,516561,Reverse Holofoil,english,Near Mint,2,,,
