d,price,sma_7,sma_30
2025-11-11,850.0,850.0,850.0
2025-11-12,916.7,883.35,883.35
2025-11-13,950.03,905.5766666666667,905.5766666666667
2025-11-14,810.0,881.6825,881.6825
2025-11-15,737.68,852.882,852.882
2025-11-16,774.12,839.755,839.755
2025-11-17,782.88,831.63,831.63
2025-11-18,783.23,822.0914285714285,825.5799999999999
2025-11-19,780.64,802.6542857142858,820.5866666666666
2025-11-20,766.65,776.4571428571428,815.193
2025-11-21,679.73,757.8471428571429,802.8781818181818
2025-11-22,617.63,740.6971428571429,787.4408333333332
2025-11-23,598.2,715.5657142857143,772.8838461538461
2025-11-24,599.31,689.3414285714285,760.4857142857143
2025-11-25,590.31,661.7814285714286,749.1406666666666
2025-11-26,593.98,635.1157142857143,739.4431249999999
2025-11-27,588.04,609.6,730.5370588235293
2025-11-28,597.9,597.91,723.1683333333332
2025-11-29,606.5,596.3199999999999,717.027894736842
2025-11-30,606.06,597.4428571428572,711.4794999999998
2025-12-01,601.95,597.8199999999999,706.2638095238094
2025-12-02,604.94,599.9100000000001,701.6581818181817
2025-12-03,606.72,601.7299999999999,697.5304347826086
2025-12-04,606.02,604.2985714285714,693.7174999999999
2025-12-05,608.7,605.8414285714287,690.3168
2025-12-06,607.11,605.9285714285714,687.1165384615384
2025-12-07,600.48,605.1314285714286,683.9077777777777
2025-12-08,601.5,605.0671428571429,680.9646428571428
2025-12-09,601.13,604.5228571428571,678.211724137931
2025-12-10,604.3,604.1771428571428,675.7479999999999
2025-12-11,593.74,602.4228571428572,667.206
2025-12-12,569.77,596.8614285714286,655.6416666666667
2025-12-13,560.97,590.2699999999999,642.673
2025-12-14,541.92,581.9042857142857,633.7369999999999
2025-12-15,512.4,569.1757142857143,626.2276666666666
2025-12-16,491.35,553.4928571428571,616.8019999999999
2025-12-17,455.81,532.28,605.8996666666666
2025-12-18,463.41,513.6614285714285,595.2389999999999
2025-12-19,451.22,496.7257142857143,584.2583333333333
2025-12-20,445.57,480.23999999999995,573.5556666666666
2025-12-21,453.09,467.55000000000007,566.001
2025-12-22,455.32,459.39571428571435,560.5906666666666
2025-12-23,451.28,453.6714285714285,555.6933333333332
2025-12-24,443.85,451.96285714285716,550.5113333333333
2025-12-25,394.16,442.0699999999999,543.9729999999998
2025-12-26,444.53,441.11428571428576,538.9913333333333
2025-12-27,457.15,442.76857142857136,534.6283333333333
2025-12-28,467.24,444.78999999999996,530.2729999999999
2025-12-29,480.49,448.38571428571424,526.0726666666666
2025-12-30,488.72,453.73428571428576,522.1613333333332
2025-12-31,499.55,461.6914285714286,518.7479999999999
2026-01-01,500.04,476.81714285714287,515.2513333333333
2026-01-02,514.49,486.8114285714286,512.1769999999999
2026-01-03,516.74,495.3242857142856,509.2009999999999
2026-01-04,515.01,502.1485714285714,506.0779999999999
2026-01-05,443.58,496.8757142857143,500.6269999999999
2026-01-06,483.62,496.1471428571428,496.7316666666666
2026-01-07,517.7,498.74000000000007,493.93833333333333
2026-01-08,486.63,496.8242857142858,490.1216666666666
2026-01-09,490.88,493.45142857142855,486.34099999999995
2026-01-10,504.4,491.68857142857144,483.36299999999994
2026-01-11,505.37,490.3114285714286,481.21633333333324
2026-01-12,507.77,499.4814285714286,479.44300000000004
2026-01-13,529.22,505.9957142857143,479.0196666666667
2026-01-14,555.84,511.4442857142857,480.4676666666666
2026-01-15,522.51,516.57,481.5063333333334
2026-01-16,560.58,526.5271428571428,484.9986666666666
2026-01-17,581.82,537.5871428571429,488.9456666666666
2026-01-18,580.66,548.3428571428572,493.2603333333334
